Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play,RMA161
b'realme',b'Realme C20',b'https://fdn2.gsmarena.com/vv/bigpic/realme-c20-r1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',b'LTE',,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 19'","b'Available. Released 2021, January 19'",b'165.2 x 76.4 x 8.9 mm (6.50 x 3.01 x 0.35 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~80.8% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, realme UI 1.0'",b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide), 1/4.0"", 1.12\xc2\xb5m, AF'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Black, Blue'",,b'About 90 EUR',"b'Glass front (Gorilla Glass 3), plastic frame, plastic back'",b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.2, (wide), 1/5.0"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme V15 5G',b'https://fdn2.gsmarena.com/vv/bigpic/realme-v15-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G 2.3 Gbps DL'","b'2021, January 07'","b'Available. Released 2021, January 15'",b'160.9 x 74.4 x 8.1 mm / 8.3 mm',b'176 g / 179 g (6.21 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ), 600 nits (peak)'","b'6.4 inches, 98.9 cm2 (~82.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~411 ppi density)'","b'Android 10, Realme UI'",b'MediaTek MT6873 Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM'","b'64 MP, f/1.8, 25mm (wide), 1/1.7"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'16 MP, f/2.5, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'",b'Panorama',"b'1080p@30/120fps, gyro-EIS'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4310 mAh, non-removable'","b'Fast charging 50W, 50% in 18 min, 100% in 47 min (advertised)'","b'Silver, Blue, Yellow/Pink'",,b'About 190 EUR',,,,b'CDMA2000 1xEV-DO',b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Watch S Pro',b'https://fdn2.gsmarena.com/vv/bigpic/realme-watch-s-pro.jpg',b'No cellular connectivity',b'N/A',b'Waterproof (5ATM)',b'N/A',b'N/A',,b'No',"b'2020, December 23'","b'Available. Released 2020, December 29'",b'-',b'-',b'No',"b'Super AMOLED, 450 nits (peak)'","b'1.39 inches, 12.5 cm2'","b'454 x 454 pixels, 1:1 ratio (~326 ppi density)'",,,,,b'No',,,,,,,,b'No',b'No',b'No',"b'5.0, A2DP, LE'","b'Yes, dual-band'",b'No',b'No',b'No',"b'Accelerometer, heart rate, SpO2'","b'Li-Ion 420 mAh, non-removable'",,b'Black',b'RMA186',b'About 110 EUR',"b'Glass front, stainless steel frame, plastic back'",b'Corning Gorilla Glass',,b'Always-on display',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',b'No',b'No',"b'Email, IM'",b'No',b'No',,,,,,,,,,
b'realme',b'Realme 7i (Global)',b'https://fdn2.gsmarena.com/vv/bigpic/realme-7i-global.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 22'","b'Available. Released 2020, December 23'",b'164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in)',b'208 g (7.34 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ), 560 nits (peak)'","b'6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, Realme UI'",b'MediaTek Helio G85 (12nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 16mm, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'","b'LED flash, HDR, panorama'",b'1080p@30/60fps',"b'8 MP, f/2.0, 26mm (wide), 1/4"", 1.12\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 18W Reverse charging',"b'Glory Silver, Victory Blue'",,b'$\xe2\x80\x89250.00 / \xe2\x82\xac\xe2\x80\x89162.93',,,,,,,,,,,,,,,,,,b'$\xe2\x80\x89250.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme 7 5G',b'https://fdn2.gsmarena.com/vv/bigpic/realme-7-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Weather-sealed ports & loudspeaker',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 66'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL'","b'2020, November 19'","b'Available. Released 2020, November 27'",b'162.2 x 75.1 x 9.1 mm (6.39 x 2.96 x 0.36 in)',b'195 g (6.88 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 120Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~83.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, Realme UI 1.0'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'microSDXC (uses shared SIM slot)',"b'128GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS'","b'16 MP, f/2.1, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 30W, 50% in 26 min, 100% in 65 min (advertised) Reverse charging'",b'Baltic Blue (Mist Blue)',b'RMX2111',b'$\xe2\x80\x89325.87 / \xc2\xa3\xe2\x80\x89279.00 / \xe2\x82\xac\xe2\x80\x89279.00',,b'Corning Gorilla Glass',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'UFS 2.1',b'24-bit/192kHz audio',,,,,,,"b'AnTuTu: 318535 (v8) GeekBench: 8096 (v4.4), 1794 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)'",b'Contrast ratio: 1287:1 (nominal)',b'Photo / Video',b'-27.8 LUFS (Good)',b'Endurance rating 129h',b'$\xe2\x80\x89325.87',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Watch S',b'https://fdn2.gsmarena.com/vv/bigpic/realme-watch-s.jpg',b'No cellular connectivity',b'N/A',b'IP68 dust/water resistant (up to 1.5m)',b'N/A',b'N/A',,b'No',"b'2020, November 03'","b'Available. Released 2020, November 14'",b'47 x 47 x 12 mm (1.85 x 1.85 x 0.47 in)',b'48 g (1.69 oz)',b'No',b'IPS LCD',"b'1.3 inches, 10.8 cm2 (~49.1% screen-to-body ratio)'","b'360 x 360 pixels, 1:1 ratio (~278 ppi density)'",,,,,b'No',,,,,,,,b'No',b'No',b'No',"b'5.0, A2DP, LE'",b'No',b'No',b'No',b'No',"b'Accelerometer, heart rate, SpO2'","b'Li-Ion 390 mAh, non-removable'",b'Wireless charging',b'Black',,b'About 80 EUR',"b'Glass front, aluminum frame, plastic back'",b'Corning Gorilla Glass',,b'eMMC 4.5',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',b'No',b'No',"b'Email, IM'",b'No',b'No',,,,,,,,,,
b'realme',b'Realme C15 Qualcomm Edition',b'https://fdn2.gsmarena.com/vv/bigpic/realme-c15q.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, October 28'","b'Available. Released 2020, October 29'",b'164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in)',b'209 g (7.37 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (typ), 600 nits (peak)'","b'6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, realme UI 1.0'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM'",,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide)'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 18W',"b'Power Silver, Power Blue'",b'RMX2195',b'About 110 EUR',"b'Glass front, plastic frame, plastic back'",b'Corning Gorilla Glass',"b'13 MP, f/2.2, (wide), PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide) 2 MP B/W, f/2.4 2 MP, f/2.4'",,,,,,,b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 0.62 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Q2 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/realme-q2-pro.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41'","b'1, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL'","b'2020, October 13'","b'Available. Released 2020, October 19'",b'160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 600 nits (peak)'","b'6.4 inches, 98.9 cm2 (~82.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~411 ppi density)'","b'Android 10, Realme UI'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'16 MP, f/2.5, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30/120fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS'",,b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",b'Fast charging 65W',"b'Leather Gray, Rainbow, Sea Blue, Fantasy White'",,b'$\xe2\x80\x89311.99',,b'Corning Gorilla Glass',"b'48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'",b'CDMA2000 1xEV-DO',b'24-bit/192kHz audio',b'$\xe2\x80\x89311.99',,,,,,,,,,,,,,b'$\xe2\x80\x89334.39',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Q2',b'https://fdn2.gsmarena.com/vv/bigpic/realme-q2.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41'","b'1, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL'","b'2020, October 13'","b'Available. Released 2020, October 19'",b'162.2 x 75.1 x 9.1 mm (6.39 x 2.96 x 0.36 in)',b'194 g (6.84 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 120Hz'","b'6.5 inches, 102.0 cm2 (~83.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, Realme UI'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'microSDXC',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'16 MP, f/2.1, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 30W',"b'Blue, Violet'",,b'$\xe2\x80\x89249.00',,,,b'CDMA2000 1xEV-DO',b'24-bit/192kHz audio',,,,,,b'$\xe2\x80\x89249.00',,,,,,b'$\xe2\x80\x89289.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Q2i',b'https://fdn2.gsmarena.com/vv/bigpic/realme-v3.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41'","b'1, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL'","b'2020, October 13'","b'Available. Released 2020, October 21'",b'164.4 x 76 x 8.6 mm (6.47 x 2.99 x 0.34 in)',b'189.5 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, realme UI'",b'MediaTek MT6853V Dimensity 720 5G (7 nm)',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',b'128GB 4GB RAM',"b'13 MP, f/2.2, 26mm (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60fps'","b'8 MP, f/2.0, 26mm (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Blue, Silver'",,b'About 130 EUR',,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme 7 (Global)',b'https://fdn2.gsmarena.com/vv/bigpic/realme-7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 07'","b'Available. Released 2020, October 21'",b'162.3 x 75.4 x 9.4 mm (6.39 x 2.97 x 0.37 in)',b'196.5 g (6.95 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, Realme UI'",b'Mediatek Helio G95 (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'16 MP, f/2.1, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'",b'Panorama',b'1080p@30/120fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 30W, 50% in 26 min, 100% in 65 min (advertised)'","b'Mist Blue, Mist White'",b'RMX2155',b'$\xe2\x80\x89276.65 / \xc2\xa3\xe2\x80\x89169.00 / \xe2\x82\xac\xe2\x80\x89185.40',"b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",b'Corning Gorilla Glass 3',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,b'$\xe2\x80\x89276.65',,,,,,b'AnTuTu: 292828(v8) GeekBench: 1681 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)',b'Contrast ratio: 1474:1 (nominal)',b'Photo / Video',b'-25.9 LUFS (Very good)',b'Endurance rating 126h',,b'\xc2\xa3\xe2\x80\x89179.00',,,,,,,,,,b'$\xe2\x80\x89289.99',,,,,,,,,,,,,,,,,,,,,
b'realme',b'Realme Narzo 20 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-20-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 21'","b'Available. Released 2020, September 25'",b'162.3 x 75.4 x 9.4 mm (6.39 x 2.97 x 0.37 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, Realme UI'",b'Mediatek Helio G95 (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',b'microSDXC (dedicated slot)',"b'64GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0\xc2\xb5m'","b'HDR, panorama'",b'1080p@30/120fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 65W SuperDart Charge',"b'White Knight, Black Ninja'",b'RMX2161',"b'\xe2\x82\xb9\xe2\x80\x8915,425'",,b'Corning Gorilla Glass',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,"b'\xe2\x82\xb9\xe2\x80\x8916,950'",,,,b'0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.93 W/kg (body)',,,,,,,,,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8915,425'",,,,,,,,,,,,,,,,,,,,,
