Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Models,Triple,_1_1,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 8GB RAM,Protection,128GB 8GB RAM,256GB 12GB RAM,128GB 6GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,Talk time_1,SAR EU,Keyboard,Browser
b'zte',b'ZTE Blade X1 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-blade-x1-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'2, 4, 5, 12, 13, 66'","b'2, 5, 66 Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 26'","b'Available. Released 2021, January 26'",b'164 x 76 x 9.2 mm (6.46 x 2.99 x 0.36 in)',b'190 g (6.70 oz)',"b'Glass front, plastic back, plastic frame'",b'Nano-SIM',b'IPS LCD',"b'6.5 inches, 103.7 cm2 (~83.2% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC',b'128GB 6GB RAM',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Ion 4000 mAh, non-removable'",b'Fast charging 18W',b'Dark Blue',b'About 320 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Blade 20 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-blade-20-pro-5g-new.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41'","b'1, 3, 41, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 30'","b'Available. Released 2021, January 04'",b'159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in)',b'168 g (5.93 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'","b'Android 10, MiFavor 10'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',b'128GB 8GB RAM',"b'64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30fps; gyro-EIS'","b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Fast charging 18W Quick Charge 4+',b'Blue',b'About 350 EUR',b'CDMA 800',b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Blade V2020 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-blade-20-pro-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, October 22'",b'162.7 x 76.3 x 8.8 mm (6.41 x 3.00 x 0.35 in)',b'184 g (6.49 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'Android 10, MiFavor 10.1'",b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57MP4',b'microSDXC',b'128GB 6GB RAM',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",b'Fast charging 18W',b'Aurora Glamour',b'About 180 EUR',b'CDMA 800',b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Watch Live',b'https://fdn2.gsmarena.com/vv/bigpic/zte-watch.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',,b'No',"b'2020, November 27'","b'Available. Released 2020, December 03'",b'40.6 x 34.6 x 10.8 mm (1.60 x 1.36 x 0.43 in)',b'35.7 g (1.27 oz)',"b'Plastic back, plastic frame'",b'No',b'TFT',"b'1.3 inches, 5.5 cm2 (~38.8% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~261 ppi density)'",,,,,b'No',,,,,,,,b'No',b'No',b'No',b'4.2',b'No',b'No',b'No',b'No',"b'Accelerometer, heart rate, SpO2'","b'Li-Ion, non-removable'",,b'Black',b'About 30 EUR',b'IP68 dust/water resistant',b'No',b'No',b'No',b'No',b'No',"b'Email, IM'",b'No',b'No',b'ES43C',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Blade 20 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-blade-20-5g-r1.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 05'","b'Coming soon. Exp. release 2021, February'",b'165.9 x 75.8 x 8.9 mm (6.53 x 2.98 x 0.35 in)',b'188 g (6.63 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, MiFavor 10.5'",b'MediaTek MT6853V Dimensity 720 5G (7 nm)',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'microSDXC',b'128GB 6GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',b'8 MP',b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Fast charging',"b'Gray, Blue'",b'About 220 EUR',b'CDMA 800 & TD-SCDMA',,,,,,,,,,"b'16 MP, f/1.8, (wide), 1/3.06"", 1.0\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Blade A7s 2020',b'https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a7s-2020-optus-x-pro-telstra-evoke-plus-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, November 03'","b'Available. Released 2020, November 03'",b'164.7 x 77.4 x 8.2 mm (6.48 x 3.05 x 0.32 in)',b'182 g (6.42 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 103.7 cm2 (~81.4% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)'",b'Android 10',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'IMG8322',b'microSDXC',b'64GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',b'8 MP',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'Yes',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,"b'Black, Blue'",b'About 120 EUR',b'HSDPA 850 / 2100',b'eMMC 5.1',,,,,,,,,"b'16 MP, (wide), AF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Axon 20 5G Extreme',b'https://fdn2.gsmarena.com/vv/bigpic/zte-axon-20-5g-extreme-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2019, December 03'","b'Available. Released 2020, December 22'",b'172.1 x 77.9 x 8 mm (6.78 x 3.07 x 0.31 in)',b'198 g (6.98 oz)',"b'Glass front, eco leather back, plastic frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, 90Hz'","b'6.92 inches, 113.7 cm2 (~84.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~388 ppi density)',"b'Android 10, MiFavor 10.5'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',b'256GB 12GB RAM',"b'64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30/60fps, 1080p@30fps, gyro-EIS, HDR, 10\xe2\x80\x91bit video'","b'32 MP, f/2.0, (wide), under display'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 4220 mAh, non-removable'","b'Fast charging 30W, 60% in 30 min (advertised) Quick Charge 4+'",b'Sunrise Yellow',b'About 440 EUR',b'CDMA 800',b'Always-on display',,,,,,,,b'A2121',,b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Axon 20 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-axon-20-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41 - Europe'",b'78 SA/NSA - Europe',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2020, September 01'","b'Available. Released 2020, September 10'",b'172.1 x 77.9 x 8 mm (6.78 x 3.07 x 0.31 in)',b'198 g (6.98 oz)',"b'Glass front, glass back or eco leather back, plastic frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, 90Hz'","b'6.92 inches, 113.7 cm2 (~84.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~388 ppi density)',"b'Android 10, MiFavor 10.5'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30/60fps, 1080p@30fps, gyro-EIS, HDR, 10\xe2\x80\x91bit video'","b'32 MP, f/2.0, (wide), under display'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 4220 mAh, non-removable'","b'Fast charging 30W, 60% in 30 min (advertised) Quick Charge 4+'","b'Black, Gold, Blue, Purple, Sunrise Yellow'",b'$\xe2\x80\x89405.90',b'CDMA 800',"b'1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41 - China'",,,,,,,,b'A2121',,b'24-bit/192kHz audio',b'AnTuTu: 320399 (v8) GeekBench: 1957 (v5.1) GFXBench: 18fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-27.3 LUFS (Good)',b'Endurance rating 82h',b'$\xe2\x80\x89405.90',,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Axon 20 4G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-axon-20-5g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 17'","b'Available. Released 2020, December 04'",b'172.1 x 77.9 x 8 mm (6.78 x 3.07 x 0.31 in)',b'198 g (6.98 oz)',"b'Glass front, glass back, aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'OLED',"b'6.92 inches, 113.7 cm2 (~84.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~388 ppi density)',"b'Android 10, MiFavor 10.5'",b'Unisoc UMS512T / Tiger T618 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'Mali G52 MP2',b'microSDXC',b'128GB 6GB RAM',"b'64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'1080p@30fps, gyro-EIS, HDR'","b'32 MP, f/2.0, (wide), under display'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'Unspecified',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 4220 mAh, non-removable'",,b'Black',b'About 370 EUR',b'eMMC 5.1',b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE nubia Watch',b'https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-watch.jpg',b'GSM / HSPA / LTE',b'GSM 1800',b'HSDPA 2100',"b'1, 3, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, July 28'","b'Available. Released 2020, August 05'",b'125 x 41.5 x 14.2 mm (4.92 x 1.63 x 0.56 in)',b'98 g (3.46 oz)',"b'Plastic front (display), stainless steel 316L & aluminum alloy frame'",b'eSIM',b'AMOLED',"b'4.01 inches, 20.0 cm2 (~38.5% screen-to-body ratio)'",b'192 x 960 pixels (~244 ppi density)',b'Proprietary platform',b'Qualcomm MSM8909W Snapdragon Wear 2100',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'No',b'8GB 1GB RAM',,,,,,,b'Yes',b'No',b'Wi-Fi 802.11 b/g/n',"b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'No',"b'Accelerometer, gyro, heart rate, compass'","b'Li-Ion 420 mAh, non-removable'",,"b'Black, Red, Green'",b'About 220 EUR',b'eMMC 4.5',b'',,,,,,,,,,b'MP3 player Photo/video viewer Voice dial/commands',,,,,,,b'Corning Gorilla Glass',,,,,,,,,,,,,,,,,,
b'zte',b'ZTE nubia Red Magic 5S',b'https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-5s.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41'","b'41, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G 7.5 Gbps DL'","b'2020, July 28'","b'Available. Released 2020, August 01'",b'168.6 x 78 x 9.8 mm (6.64 x 3.07 x 0.39 in)',b'220 g (7.76 oz)',"b'Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 144Hz'","b'6.65 inches, 108.6 cm2 (~82.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)'","b'Android 10, Redmagic 3.0'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM'",,"b'LED flash, HDR, panorama'","b'8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps'","b'8 MP, f/2.0, (wide), 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, aptX, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C 3.0, USB On-The-Go; accessory connector'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'","b'Fast charging 55W, 56% in 15 min, 100% in 40 min (advertised)'","b'Silver, Pulse'",b'\xc2\xa3\xe2\x80\x89454.26',b'CDMA 800 & TD-SCDMA',b'CDMA2000 1xEV-DO',,,,,,,,,"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.0, 120\xcb\x9a, 13mm (ultrawide), 1.12\xc2\xb5m 2 MP, (macro)'",b'32-bit/384kHz audio',"b'AnTuTu: 557056 (v8) GeekBench: 13400 (v4.4), 3386 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-22.6 LUFS (Excellent)',b'Endurance rating 83h',,b'Corning Gorilla Glass',b'\xc2\xa3\xe2\x80\x89627.91',b'\xc2\xa3\xe2\x80\x89454.26',,,,,,,,,,,,,,,,
b'zte',b'ZTE nubia Red Magic 5G Lite',b'https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-play.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE (unspecified)',b'SA/NSA',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, June 19'","b'Available. Released 2020, June 19'",b'171.7 x 78.5 x 9.1 mm (6.76 x 3.09 x 0.36 in)',b'215 g (7.58 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 144Hz'","b'6.65 inches, 108.6 cm2 (~80.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)'","b'Android 10, nubia UI 8.0'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'No',b'256GB 8GB RAM',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30fps; gyro-EIS'","b'12 MP, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 5100 mAh, non-removable'",b'Fast charging 18W',"b'Black, Blue'",b'About 600 EUR',b'Touch sensitive gaming triggers',b'UFS 2.1',,,,,,,,b'NX651J',,b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Axon 11 SE 5G',b'https://fdn2.gsmarena.com/vv/bigpic/zte-axon-11-se-5g1.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, June 01'","b'Available. Released 2020, June 22'",b'162.7 x 76.3 x 8.8 mm (6.41 x 3.00 x 0.35 in)',b'184 g (6.49 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'Android 10, MiFavor 10.1'",b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57MP4',b'microSDXC',b'128GB 6GB RAM',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'","b'Fast charging 18W, 50% in 30 min (advertised)'","b'Aurora Glamour, Aurora Glacier'",b'About 250 EUR',b'CDMA 800',b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
