Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Infrared port,Clock,Alarm,3G bands,Speed,OS,Chipset,CPU,GPU,Internal,Features,Single_1,Video_1,NFC,4G bands,Keyboard,5G bands,Build,Quad,Features_1,Charging,Price,Triple,Dual,Models,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Music play
b'meizu',b'Meizu 17 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, May 08'","b'Available. Released 2020, May 11'",b'160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in)',b'219 g (7.72 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 120Hz, HDR10+, 700 nits (typ)'","b'6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20 MP, f/2.2, (wide), 0.8\xc2\xb5m'","b'4K@30/60fps, 1080p; gyro-EIS'",b'UFS 3.1',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 4500 mAh, non-removable'",,,"b'Mint, Black, White'",,,,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A; 5G'","b'Android 10, Flyme 8.1'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'5-LED dual-tone flash, Auto-HDR, panorama'",,b'1080p@30fps',b'Yes',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'",,"b'41, 78, 79 SA/NSA'","b'Glass front, ceramic back, ceramic frame'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 79mm (telephoto), 1.0\xc2\xb5m, PDAF 32 MP, f/2.2, 15mm, 129\xcb\x9a (ultrawide), 1/2.8"", 0.8\xc2\xb5m 0.3 MP, TOF 3D, f/1.4, (depth)'",b'HDR',"b'Fast charging 30W, 45% in 30 min (advertised) Fast wireless charging 27W Quick Charge 3.0'",b'About 560 EUR',,,,,,,,,,,
b'meizu',b'Meizu 17',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m17.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, May 08'","b'Available. Released 2020, May 11'",b'160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 120Hz, HDR10+, 700 nits (typ)'","b'6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20 MP, f/2.2, (wide), 0.8\xc2\xb5m'","b'4K@30/60fps, 1080p; gyro-EIS'",b'UFS 3.1',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 4500 mAh, non-removable'",,,"b'Green, Gray, Aurora White'",,,,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A; 5G'","b'Android 10, Flyme 8.1'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',"b'128GB 8GB RAM, 256GB 8GB RAM'","b'5-LED dual-tone flash, Auto-HDR, panorama'",,b'1080p@30fps',b'Yes',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'",,"b'41, 78, 79 SA/NSA'",,"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF 8 MP, f/2.2, 16mm, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/1.9, (macro)'",b'HDR',"b'Fast charging 30W, 45% in 30 min (advertised) Quick Charge 3.0'",b'About 530 EUR',,,,,,,,,,,
b'meizu',b'Meizu 16T',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, October'","b'Available. Released 2019, October'",b'159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ)'","b'6.5 inches, 106.3 cm2 (~85.2% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'4K@30/60fps',b'UFS 3.0',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 4500 mAh, non-removable'",,,"b'Orange, Blue, Green'",,,,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps'","b'Android 9.0 (Pie), Flyme 8'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'LED flash, HDR, panorama'",,b'1080p@30fps',b'No',"b'1, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41'",,,,,b'HDR',b'Fast charging 18W mCharge',b'About 250 EUR',"b'12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF 8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m, PDAF 5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12\xc2\xb5m, PDAF'",,,,,,,,,,
b'meizu',b'Meizu M10',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m10.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, September'","b'Available. Released 2019, October'",b'164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ)'","b'6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'CDMA 800',b'No',,,"b'8 MP, f/2.0'",b'1080p@30fps',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 28, 40 - LATAM'","b'Li-Po 4000 mAh, non-removable'",,,"b'Phantom Black, Purplish Red, Sea Blue'",,,,b'HSDPA 850 / 900 / 1900 / 2100 - Global',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Android 9.0 (Pie), Flyme 8'",b'Mediatek MT6757T Helio P25 (16 nm)',b'Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)',b'Mali-T880MP2',"b'32GB 2GB RAM, 32GB 3GB RAM'","b'LED flash, HDR, panorama'",,b'1080p@30fps',b'No',"b'1, 2, 3, 5, 7, 8, 20, 40 - Global'",,,,,b'HDR',,b'About 180 EUR',"b'13 MP, f/2.0, (wide), PDAF 2 MP, f/2.2 2 MP, f/2.2'",,,,,,,,,,
b'meizu',b'Meizu 16s Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16s-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, August'","b'Available. Released 2019, August'",b'151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in)',b'166 g (5.86 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.2 inches, 95.8 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20MP, f/2.2'","b'4K@30/60fps, 1080p@30fps (gyro-EIS)'",b'UFS 3.0',b'Yes',,b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 3600 mAh, non-removable'",,,"b'Twilight Forest, Dream Unicorn, Black Mirror, White story'",,,,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'Android 9.0 (Pie), Flyme 8'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'Six-LED dual-tone flash, Auto-HDR, panorama'",,b'1080p@30fps',b'Yes',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,,,,b'HDR',b'Fast charging 24W mCharge',b'About 340 EUR',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 20MP, f/2.6, (telephoto), 1/2.8"", 1.0\xc2\xb5m, PDAF 16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0\xc2\xb5m'",,,,,,,,,,
b'meizu',b'Meizu 16Xs',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, May'","b'Available. Released 2019, June'",b'152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.2 inches, 95.8 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'4K@30fps, 1080p@30fps (gyro-EIS)'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 4000 mAh, non-removable'",,,"b'Carbon Black, Pearl White, Phantom Blue'",,,,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Android 9.0 (Pie), Flyme'",b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',"b'64GB 6GB RAM, 128GB 6GB RAM'","b'LED flash, HDR, panorama'",,b'1080p@30fps',b'No',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,,,,b'HDR',b'Fast charging 24W mCharge',b'About 220 EUR',"b'48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2 5 MP, f/1.9, (depth)'",,,,,,,,,,
b'meizu',b'Meizu 16s',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'6.2 inches, 97.2 cm2 (~87.2% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20MP, f/2.2'","b'4K@30fps, 1080p@30fps (gyro-EIS)'",b'UFS 2.1',b'Yes',,b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 3600 mAh, non-removable'",,,"b'Carbon Black, Pearl White, Phantom Blue'",,,,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'Android 9.0 (Pie), Flyme 7.3'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'Six-LED dual-tone flash, Auto-HDR, panorama'",,b'1080p@30fps',b'Yes',"b'1, 2, 3, 4, 5, 7, 8, 20, 40'",,,,,b'HDR',b'Fast charging 24W mCharge',b'About 420 EUR',,"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 20MP, f/2.6, (telephoto), PDAF'",,,,,,,,,
b'meizu',b'Meizu Note 9',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, March'","b'Available. Released 2019, March'",b'153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 96.4 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 4000 mAh, non-removable'",,,"b'Black, White, Starlight Blue'",,,,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Android 9.0 (Pie), Flyme 7.2'",b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM'","b'Dual-LED dual-tone flash, panorama'",,b'1080p@30fps',b'No',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,,,,,b'Fast charging 18W mCharge',b'About 200 EUR',,"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,
b'meizu',b'Meizu C9 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, December'","b'Available. Released 2018, December'",b'146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IGZO IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'microSDXC',,,"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,"b'Li-Ion 3000 mAh, removable'",,,"b'Black, Gold'",,,,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Android 8.0 (Oreo), Flyme UI'",b'Unisoc SC9832E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820MP1',b'32GB 3GB RAM',"b'LED flash, panorama'","b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m'",b'',b'No',"b'1, 2, 3, 5, 7, 8, 40'",,,,,,,b'About 110 EUR',,,,,,,,,,,
b'meizu',b'Meizu Zero',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,,"b'2019, January'",b'Cancelled',b'-',b'-',b'eSIM',b'AMOLED',"b'5.99 inches, 88.1 cm2'","b'1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)'",b'CDMA 800 & TD-SCDMA',b'No',,,"b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'","b'4K@30fps, 1080p@30fps'",b'IP68',b'Yes',,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion, non-removable'",,,"b'Black, White'",,,,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps'",b'Android 9.0 (Pie)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver)',b'Adreno 630',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'","b'Dual-LED dual-tone flash, panorama'",,b'1080p@30fps',b'Yes',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,,"b'Glass front, ceramic back, ceramic frame'",,,b'Wireless charging 18W',,,"b'12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55\xc2\xb5m, PDAF 20 MP, PDAF'",,,,,,,,,
b'meizu',b'Meizu C9',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-c9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, December'","b'Available. Released 2018, December'",b'146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IGZO IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'microSDXC (dedicated slot)',,,"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,"b'Li-Ion 3000 mAh, removable'",,,"b'Black, Blue'",,,,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Android 8.0 (Oreo), Flyme UI'",b'Unisoc SC9832E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820MP1',b'16GB 2GB RAM',"b'LED flash, panorama'","b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'',b'No',"b'1, 2, 3, 5, 8, 40'",,,,,,,b'About 90 EUR',,,b'C9',,,,,,,,
b'meizu',b'Meizu Note 8',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-note-8-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, October'","b'Available. Released 2018, November'",b'153.6 x 75.5 x 7.9 mm (6.05 x 2.97 x 0.31 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~80.1% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'CDMA 800 & TD-SCDMA - China',b'No',,,"b'8 MP, f/2.0'",b'1080p@30fps',b'eMMC 5.1',b'Yes',,b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 3600 mAh, non-removable'",,,"b'Black, Blue, Red, Pink'",,,,b'HSDPA 850 / 900 / 2100 - China',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Android 8.0 (Oreo), Flyme 7.3'",b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',b'64GB 4GB RAM',"b'Dual-LED dual-tone flash, panorama'",,b'',b'No',"b'1, 3, 5, 38, 39, 40, 41 - China'",,,,,,b'Fast charging 24W mCharge 4',b'About 200 EUR',,"b'12 MP, f/1.9, 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,
b'meizu',b'Meizu X8',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-x8.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, September'","b'Available. Released 2018, October'",b'151.2 x 74.6 x 7.8 mm (5.95 x 2.94 x 0.31 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 97.6 cm2 (~86.5% screen-to-body ratio)'","b'1080 x 2220 pixels, 18.5:9 ratio (~398 ppi density)'",b'CDMA 800 & TD-SCDMA - China',b'No',,,"b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,,"b'Li-Ion 3210 mAh, non-removable'",,,"b'Black, Blue, White'",,,,b'HSDPA 850 / 900 / 2100 - China',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat15 800/150 Mbps'","b'Android 8.0 (Oreo), Flyme UI'",b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM'","b'Dual-LED dual-tone flash, panorama'",,b'',b'No',"b'1, 3, 5, 8, 34, 38, 39, 40, 41 - China'",,,,,,,b'About 200 EUR',,"b'12 MP, f/1.9, 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF 5 MP'",b'X8',,,,,,,,
b'meizu',b'Meizu V8 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-v8-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, September'","b'Available. Released 2018, September'",b'147.5 x 72.7 x 8.1 mm (5.81 x 2.86 x 0.32 in)',b'159 g (5.61 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~78.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'CDMA 800 & TD-SCDMA - China',b'microSDXC',,,"b'5 MP, f/1.9'",b'1080p@30fps',b'eMMC 5.1',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,,"b'Li-Ion 3100 mAh, non-removable'",,,"b'Black, Gold'",,,,b'HSDPA 850 / 900 / 2100 - China',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'Android 8.0 (Oreo), Flyme UI'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'64GB 4GB RAM',"b'Dual-LED dual-tone flash, panorama'",,b'',b'No',"b'1, 3, 5, 8, 34, 38, 39, 40, 41 - China'",,,,,,,b'About 150 EUR',,"b'12 MP, f/2.2, AF 5 MP, f/2.2'",,,,,,,,,
