Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1
b'panasonic',b'Panasonic Eluga I7 (2019)',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, June'","b'Available. Released 2019, July'",b'148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',,b'Quad-core 1.5 GHz',,b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, 1.12 \xc2\xb5m, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio with RDS',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,"b'Black, Gold, Blue'",,b'About 9990 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga Ray 800',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2019, March'","b'Available. Released 2019, March'",b'152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in)',b'162 g (5.71 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 7.0 (Nougat)',,b'Octa-core 1.8 GHz',,b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.0, PDAF'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,b'Gold',,b'About 10000 INR',,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P85 Nxt',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, October'","b'Available. Released 2018, November'",b'141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in)',b'173.8 g (6.14 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.1.2 (Nougat)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',b'microSDXC',b'16GB 2GB RAM',,b'LED flash',b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio with RDS; recording',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,"b'Blue, Gold, Black'",,b'About 7000 INR',,b'Corning Gorilla Glass',,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, AF'",,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga Z1 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, October'","b'Available. Released 2018, October'",b'157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in)',b'169 g (5.96 oz)',"b'Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'6.19 inches, 96.4 cm2 (~80.4% screen-to-body ratio)'",b'720 x 1500 pixels (~269 ppi density)',b'Android 8.1 (Oreo)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'",,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.2'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'FM radio, RDS, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Black, Gold, Blue'",,b'About 200 EUR',,b'Asahi Dragontrail Pro Glass',,,,,"b'13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.8, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga Ray 530',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, October'","b'Available. Released 2018, October'",b'152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in)',b'141 g (4.97 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~76.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 8.0 (Oreo)',,b'Quad-core 1.3 GHz',,b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Blue'",,b'About 9000 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga Ray 600',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, October'","b'Available. Released 2018, October'",b'158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in)',b'158 g (5.57 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~269 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6737H',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,"b'Black, Blue, Gold'",,b'About 8000 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga X1 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps'","b'2018, October'","b'Available. Released 2018, October'",b'155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in)',b'195 g (6.88 oz)',"b'Hybrid Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'6.18 inches, 96.2 cm2 (~82.2% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,"b'LED flash, panorama'",b'1080p@30fps',"b'16 MP, f/2.2, 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30fps',b'',b'Yes',b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Infrared face recognition, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",b'Charging 10W Wireless charging',"b'Dark Grey, Silver'",,b'About 350 EUR',"b'Glass front (Gorilla Glass 3), glass back, stainless steel frame'",b'Corning Gorilla Glass 3',,,,,"b'16 MP, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P90',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, June'","b'Available. Released 2018, June'",b'143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in)',b'151.7 g (5.36 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',b'microSDXC',b'16GB 1GB RAM',,"b'LED flash, panorama'",b'720p@30fps',"b'5 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",b'Li-Ion 2400 mAh battery',,"b'Blue, Gold, Black'",,b'About 6000 INR',,b'Corning Gorilla Glass (unspecified version)',,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P95',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, May'","b'Available. Released 2018, May'",b'141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in)',b'164 g (5.78 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.1.2 (Nougat)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",b'Li-Ion 2300 mAh battery',,"b'Blue, Gold, Dark Grey'",,b'About 5000 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga I7',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, April'","b'Available. Released 2018, April'",b'148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737H',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, 1.12 \xc2\xb5m, AF'",b'LED flash',b'480p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio with RDS',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,"b'Black, Gold, Blue'",b'ELUGA I7',b'About 6500 INR',"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga Ray 550',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-550-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, April'","b'Available. Released 2018, April'",b'152.5 x 73.3 x 8.5 mm (6.00 x 2.89 x 0.33 in)',b'152 g (5.36 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~75.0% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737H',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3250 mAh, non-removable'",,"b'Black, Blue, Gold'",,b'About 9000 INR',,b'Asahi Glass',,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P101',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p101.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, April'","b'Available. Released 2018, April'",b'148.8 x 72 x 9.1 mm (5.86 x 2.83 x 0.36 in)',b'145 g (5.11 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~71.5% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~197 ppi density)'",b'Android 7.1 (Nougat)',b'Mediatek MT6739WA (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'PowerVR GE8100',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 2500 mAh, non-removable'",,"b'Dark Blue, Black'",,b'About 7000 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P100',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p100-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, February'","b'Available. Released 2018, February'",b'145 x 73 x 9.9 mm (5.71 x 2.87 x 0.39 in)',b'174.8 g (6.17 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720',b'microSDXC',"b'16GB 1GB RAM, 16GB 2GB RAM'",,b'LED flash',b'720p@30fps',b'8 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 2200 mAh, non-removable'",,b'Gold',b'P100',b'About 5300 INR',,b'Corning Gorilla Glass (unspecified version)',,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga I9',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2017, December'","b'Available. Released 2017, December'",b'142.5 x 70.5 x 7.8 mm (5.61 x 2.78 x 0.31 in)',b'143 g (5.04 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio with RDS',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 2500 mAh, non-removable'",,"b'Space grey, Champagne Gold, Blue'",,b'About 100 EUR',"b'Glass front, aluminum back, aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.4'",,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga C',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-c.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2017, November'","b'Available. Released 2017, December'",b'141 x 73.5 x 8.7 mm (5.55 x 2.89 x 0.34 in)',b'-',b'Dual SIM',b'S-IPS LCD',"b'5.5 inches, 83.4 cm2 (~80.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6750T (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC',b'64GB 4GB RAM',,b'LED flash',b'1080p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,"b'Blue, Soft Pink'",,b'About 200 EUR',"b'Glass front, plastic back, plastic frame'",,,,,,"b'13 MP, f/2.2, AF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'panasonic',b'Panasonic P91',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-p91.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'1, 3, 5, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2017, November'","b'Available. Released 2017, November'",b'144.7 x 72.4 x 10.1 mm (5.70 x 2.85 x 0.40 in)',b'161 g (5.68 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737M (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Mali-T720',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Ion 2500 mAh, non-removable'",,"b'Gold, Black, Blue'",,b'About 6500 INR',,b'Asahi Dragontrail Glass',,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,b'Yes',,,,,,,,,,,,,,,
b'panasonic',b'Panasonic Eluga I5',b'https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'3, 5, 40'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2017, November'","b'Available. Released 2017, November'",b'143 x 71 x 7.5 mm (5.63 x 2.80 x 0.30 in)',b'145.5 g (5.15 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720MP1',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 2500 mAh, non-removable'",,"b'Black, Gold'",,b'About 6500 INR',,b'Asahi Dragontrail Glass',,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.2'",,,,,,,,,,,,,,,,,,,,
