Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,Chipset,GPU,SAR EU,GPRS,EDGE,,_1,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1
b'karbonn',b'Karbonn Titanium Mach Two S360',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2015, March. Released 2015, March'",b'Discontinued',b'138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in)',b'112 g (3.95 oz)',"b'Glass front (Asahi Dragontrail Glass), glass back (Gorilla Glass 3), aluminum frame'",b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)'",b'Octa-core 1.4 GHz Cortex-A7',b'microSDHC',b'8GB 1GB RAM',"b'8 MP, AF'","b'LED flash, HDR'",b'Yes',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1900 mAh, non-removable'",b'Deep Blue',b'About 140 EUR',,,,,,,,,,,,,,,,
b'karbonn',b'Karbonn Titanium Wind W4',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, September. Released 2014, September'",b'Discontinued',b'125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in)',b'-',,b'Dual SIM',"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~56.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Microsoft Windows Phone 8.1',b'Quad-core 1.2 GHz',b'microSDHC',b'4GB 512MB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Yes',"b'Li-Ion 1950 mAh, removable'","b'Black,White, Red'",,b'Up to 240 h',b'Up to 8 h',,,,,,,,,,,,,,
b'karbonn',b'Karbonn Titanium S99',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, June. Released 2014, June'",b'Discontinued',b'133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~51.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4 (KitKat)',b'Quad-core 1.3 GHz',b'microSDHC',b'4GB 512MB RAM',b'5 MP',b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Yes',b'Li-Ion 1400 mAh battery',"b'Black,White'",,b'Up to 168 h',b'Up to 5 h',,,,,,,,,,,,,,
b'karbonn',b'Karbonn Sparkle V',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',b'HSPA',"b'2014, September. Released 2014, September'",b'Discontinued',b'132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in)',b'138 g (4.87 oz)',,b'Dual SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",,"b'Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow), Android One'",b'Quad-core 1.3 GHz Cortex-A7',b'microSDHC',b'4GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'720p',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1700 mAh, removable'",b'Red',b'About 80 EUR',b'Up to 160 h',b'Up to 8 h',b'Mediatek MT6582 (28 nm)',b'Mali-400MP2',,,,,,,,,,,,
b'karbonn',b'Karbonn Titanium S19',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, August. Released 2014, August'",b'Discontinued',b'-',b'-',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Quad-core 1.3 GHz',b'microSDHC',b'8GB 1GB RAM',"b'13 MP, AF'",b'LED flash',b'Yes',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 2000 mAh battery',"b'Black, White'",b'About 110 EUR',,,,,,,,,,,,,,,,
b'karbonn',b'Karbonn Smart A12 Star',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, July. Released 2014, July'",b'Discontinued',b'124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in)',b'130 g (4.59 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Dual-core 1.2 GHz',b'microSDHC',b'4GB 512MB RAM',b'5 MP',b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 1400 mAh battery',b'Black',b'About 50 EUR',b'Up to 300 h',,,,b'0.79 W/kg (head)',,,,,,,,,,,
b'karbonn',b'Karbonn Titanium S1 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, May. Released 2014, May'",b'Discontinued',b'124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in)',b'129 g (4.55 oz)',,b'Dual SIM',b'TFT',"b'4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.3 (Jelly Bean)',b'Quad-core 1.2 GHz',b'microSDHC',b'4GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 1500 mAh battery',b'White',b'About 80 EUR',,,,b'Adreno 302',,,,,,,,,,,,
b'karbonn',b'Karbonn Titanium Hexa',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'HSPA 42.2/5.76 Mbps',"b'2014, March. Released 2014, April'",b'Discontinued',b'154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Hexa-core 1.5 GHz Cortex-A7',b'microSDHC',b'16GB 2GB RAM',"b'13 MP, AF'","b'LED flash, panorama'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",b'Li-Po 2050 mAh battery',"b'Black, White'",b'About 200 EUR',,,b'Mediatek MT6591',b'Mali-450MP4',,b'Yes',b'Yes',,,,,,,,,
b'karbonn',b'Karbonn Titanium Octane Plus',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'HSPA 42.2/5.76 Mbps',"b'2014, March. Released 2014, April'",b'Discontinued',b'147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Octa-core 1.7 GHz Cortex-A7',b'microSDHC',b'16GB 2GB RAM',"b'16 MP, AF'","b'LED flash, panorama'",b'Yes',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2000 mAh, removable'","b'Black, White'",b'About 220 EUR',,,b'Mediatek MT6592 (28 nm)',b'Mali-450MP4',,b'Yes',b'Yes',,,,,,,,,
b'karbonn',b'Karbonn Titanium Octane',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'HSPA 42.2/5.76 Mbps',"b'2014, March. Released 2014, April'",b'Discontinued',b'145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Octa-core 1.7 GHz Cortex-A7',b'microSDHC',b'16GB 1GB RAM',"b'13 MP, AF'","b'LED flash, panorama'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2000 mAh, removable'","b'Black, White'",b'About 170 EUR',,,b'Mediatek MT6592 (28 nm)',b'Mali-450MP4',,b'Yes',b'Yes',,,,,,,,,
b'karbonn',b'Karbonn Titanium X',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-x.jpg',b'GSM / HSPA',b'GSM 900 / 1800',b'HSDPA 2100',b'HSPA',"b'2014, January. Released 2014, January'",b'Discontinued',b'143.9 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in)',b'143 g (5.04 oz)',,b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Quad-core 1.5 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',"b'13 MP, AF'","b'Dual-LED flash, HDR, panorama'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Ion 2300 mAh, non-removable'",b'Black',b'About 200 EUR',b'Up to 240 h',b'Up to 6 h',b'Mediatek MT6589T (28 nm)',b'PowerVR SGX544MP2',,,,,,,,,,,,
b'karbonn',b'Karbonn A16',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a16.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2014, January. Released 2014, January'",b'Discontinued',b'-',b'-',,b'Dual SIM',b'TFT',"b'3.9 inches, 43.3 cm2'","b'480 x 800 pixels, 5:3 ratio (~239 ppi density)'",,b'Android 4.2 (Jelly Bean)',b'Dual-core 1.3 GHz',b'microSDHC',b'4GB 512MB RAM',b'5 MP',,b'Yes',b'Yes',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1350 mAh, removable'",b'Black',b'About 60 EUR',,,,,,,,,,,,,,,,
b'karbonn',b'Karbonn A12+',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a12-plus.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2013, October. Released 2013, October'",b'Discontinued',b'-',b'-',,b'Dual SIM',b'IPS LCD',"b'4.0 inches, 45.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.2 (Jelly Bean)',b'Dual-core 1.3 GHz',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 1400 mAh battery',b'Black/White',b'About 60 EUR',,,,,,,,,,,,,,,,
b'karbonn',b'Karbonn Titanium S5 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s5-plus.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'2013, December. Released 2013, December'",b'Discontinued',b'138 x 70.5 x 7.9 mm (5.43 x 2.78 x 0.31 in)',b'104.5 g (3.70 oz)',,b'Dual SIM (Mini-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Quad-core 1.3 GHz',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',"b'8 MP, AF'",b'LED flash',b'Yes',b'Yes',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1800 mAh, removable'","b'Black, White'",b'About 120 EUR',,,,,,,,,,,,,,,,
b'karbonn',b'Karbonn S7 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2013, November. Released 2013, December'",b'Discontinued',b'143.5 x 72 x 9.3 mm (5.65 x 2.83 x 0.37 in)',b'-',,b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'Android 4.2 (Jelly Bean)',b'Quad-core 1.5 GHz',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',"b'13 MP, AF'",b'LED flash',b'Yes',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'Proprietary',"b'Accelerometer, gyro, proximity, compass'",b'Li-Ion 2000 mAh battery',b'Black',b'About 180 EUR',b'Up to 200 h',b'Up to 4 h',,,,,,,,,,,,,,
b'karbonn',b'Karbonn S9 Titanium',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-s9.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2013, July. Released 2013, July'",b'Discontinued',b'-',b'176.5 (6.21 oz)',,b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'Android 4.2 (Jelly Bean)',b'Quad-core 1.2 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',"b'13 MP, AF'",b'LED flash',b'Yes',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot, DLNA'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'Proprietary',"b'Accelerometer, proximity'",b'Li-Ion 2600 mAh battery',b'White',b'About 170 EUR',,,b'Mediatek MT6589 (28 nm)',b'PowerVR SGX544',,,,,,,,,,,,
b'karbonn',b'Karbonn A10',b'https://fdn2.gsmarena.com/vv/bigpic/karbonn-a10.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',b'HSPA',"b'2013, July. Released 2013, July'",b'Discontinued',b'-',b'-',,b'Dual SIM',b'IPS LCD',"b'3.9 inches, 43.3 cm2'","b'480 x 800 pixels, 5:3 ratio (~239 ppi density)'",,b'Android 4.1 (Jelly Bean)',b'Dual-core 1.0 GHz Cortex-A9',b'microSDHC (dedicated slot)',b'512MB 512MB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'Proprietary',"b'Accelerometer, proximity'",b'Li-Ion 1400 mAh battery',b'Black',b'About 70 EUR',,,b'Mediatek MT6577 (40 nm)',b'PowerVR SGX531u',,,,,,,,,,,,
