Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,,Speed,Announced,Status,Dimensions,Weight,Keyboard,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Models,SAR,SAR EU,Price,Performance,64GB 4GB RAM,32GB 4GB RAM,Features_1,Charging,_1_1,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Single_1,Stand-by,Talk time,Music play,Browser,GPRS,EDGE,Stand-by_1,Talk time_1,Alert types
b'blackberry',b'BlackBerry KEY2 LE',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 32, 38, 40, 41 - BBE100-1, BBE100-4 DS (EU, Africa, AU)'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 29, 66, 38, 39, 40, 41 - BBE100-2, BBE100-5 DS (NA, LATAM)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2018, August'","b'Available. Released 2018, October'",b'150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in)',b'156 g (5.50 oz)',b'QWERTY',"b'Glass front (Gorilla Glass), plastic back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 8.1 (Oreo)',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)',b'Adreno 509',b'microSDXC (uses shared SIM slot)',"b'32GB 4GB RAM, 64GB 4GB RAM'",b'eMMC 5.1',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'","b'Slate, Champagne, Atomic'","b'BBE100-4, BBE100-5, BBE100-1, BBE100-2'",b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 1.17 W/kg (body)',b'0.78 W/kg (head) \xc2\xa0 \xc2\xa0 1.61 W/kg (body)',b'\xe2\x82\xac\xe2\x80\x89429.00 / $\xe2\x80\x89439.99 / \xc2\xa3\xe2\x80\x89389.97',b'AnTuTu: 116764 (v7)GeekBench: 4965 (v4.4)',b'\xe2\x82\xac\xe2\x80\x89429.00',b'\xc2\xa3\xe2\x80\x89445.00',,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Evolve X',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 40, 41'",b'eMMC 5.1',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in)',b'170 g (5.93 oz)',,"b'Glass front (Gorilla Glass 5), plastic/aluminum back, aluminum frame (7000 series)'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 5',b'Android 8.1 (Oreo)',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',b'64GB 6GB RAM',,"b'12 MP, f/1.8, 1/2.8"", 1.29\xc2\xb5m, PDAF 13 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, 2\xd1\x85 optical zoom, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30/60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, SBAS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',,,,b'About 350 EUR',,,,b'LED flash',b'Fast charging 18W Quick Charge 3.0 USB Power Delivery 2.0 Wireless charging',,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Evolve',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 40, 41'",b'eMMC 5.1',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, August'","b'Available. Released 2018, October'",b'158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in)',b'170 g (5.93 oz)',,,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 5',b'Android 8.1 (Oreo)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'13 MP, 1/3.1"", 1.12\xc2\xb5m, PDAF 13 MP B/W, 1/3.1"", 1.12\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30/60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',b'BBG100-1',,,b'About 300 EUR',,,,b'LED flash',b'Fast charging 18W Quick Charge 3.0 USB Power Delivery 2.0',,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry KEY2',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBF100-6 model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - EU, Africa, AU (BBF100-1)'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 28, 29, 30, 38, 39, 40, 41, 66 - Canada, US, LATAM (BBF100-2)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps'","b'2018, June'","b'Available. Released 2018, June'",b'151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in)',b'168 g (5.93 oz)',b'QWERTY',"b'Glass front (Gorilla Glass 3), plastic back, aluminum frame (7000 series)'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by) - BBF100-6 only'",b'IPS LCD',"b'4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Corning Gorilla Glass 3',b'Android 8.1 (Oreo)',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',"b'64GB 6GB RAM, 128GB 6GB RAM'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - ME, APAC, India (BBF100-6)'","b'12 MP, f/1.8, 1/2.3"", 1.28\xc2\xb5m, dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS2'",b'Yes',b'FM radio',"b'USB Type-C 3.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3500 mAh, non-removable'","b'Black, Silver, Red'","b'BBF100-6, BBF100-1, BBF100-2'",,b'0.72 W/kg (head) \xc2\xa0 \xc2\xa0 1.68 W/kg (body)',b'About 500 EUR',b'AnTuTu: 140984 (v7)GeekBench: 5830 (v4.4)GFXBench: 11fps (ES 3.1 onscreen)',,,,"b'Fast charging 18W, 50% in 36 min (advertised) Quick Charge 3.0'",b'eMMC 5.1',"b'Contrast ratio: 1572 (nominal), 3.212 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 72dB / Ring 79dB',b'Noise -90.7dB / Crosstalk -94.2dB',b'Endurance rating 86h',,,,,,,,,,
b'blackberry',b'BlackBerry Motion',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - BBD100-6 (EU, Global)'","b'2, 4, 5, 7, 12, 13, 17, 29, 30, 66 - BBD100-2 (USA)'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, October'","b'Available. Released 2017, December'",b'155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in)',b'167 g (5.89 oz)',,"b'Glass front, plastic back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 82.6 cm2 (~70.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~403 ppi density)'",b'Scratch-resistant glass',b'Android 7.1 (Nougat)',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',b'32GB 4GB RAM',b'IP67 dust/water resistant (up to 1m for 30 mins)',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'12 MP, f/2.0, PDAF'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.2, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS, BDS2'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',"b'BBD100-1, BBD100-6, BBD100-2'",,,b'About 390 EUR',b'AnTuTu: 75057 (v7)GeekBench: 3567 (v4.4)GFXBench: 3.4fps (ES 3.1 onscreen)',,,,b'Fast charging 18W Quick Charge 3.0',b'eMMC 5.1',,b'Photo / Video',b'Voice 66dB / Noise 69dB / Ring 77dB',,b'Endurance rating 94h',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,
b'blackberry',b'BlackBerry Aurora',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',b'eMMC 5.1',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in)',b'178 g (6.28 oz)',,"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'Android 7.0 (Nougat)',b'Qualcomm MSM8917 Snapdragon 425 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Adreno 308',b'microSDXC (dedicated slot)',b'32GB 4GB RAM',,,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'","b'Black, Silver, Gold'",b'BBC100-1',,,b'About 200 EUR',,,,,,,,,,,,b'8 MP',,,,,,,,,
b'blackberry',b'BlackBerry Keyone',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBB100-4 only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 13, 17, 20, 28, 38, 40'",b'Capacitive touch 4-row BlackBerry keyboard',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat9 450/50 Mbps'","b'2017, February'","b'Available. Released 2017, April'",b'149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in)',b'180 g (6.35 oz)',b'QWERTY',"b'Glass front (Gorilla Glass 4), plastic back, aluminum frame'","b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by) - BBB100-4 only'",b'IPS LCD',"b'4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Corning Gorilla Glass 4',"b'Android 7.1 (Nougat), upgradable to Android 8.1 (Oreo)'",b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'",b'eMMC 5.1',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'4K@30fps',"b'12 MP, f/2.0, 1/2.3"", 1.55\xc2\xb5m, PDAF'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS2'",b'Yes',b'FM radio',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3500 mAh, non-removable'","b'Black/Silver, Black, Bronze'","b'BBB100-2, BBB100-7, BBB100-1, BBB100-5, BBB100-3'",,,b'About 290 EUR',b'GFXBench: 4.1fps (ES 3.1 onscreen)',,,,"b'Fast charging 18W, 50% in 36 min (advertised) Quick Charge 3.0'",,b'Contrast ratio: 1756:1 (nominal)',b'Photo / Video',b'Voice 62dB / Noise 66dB / Ring 67dB',b'Noise -92.2dB / Crosstalk -96.4dB',b'Endurance rating 81h',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,
b'blackberry',b'BlackBerry DTEK60',b'https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA, EMEA'","b'1, 2, 3, 4, 5, 7, 12, 17, 20, 29 - USA'","b'1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41 - EMEA'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2016, October'","b'Available. Released 2016, October'",b'153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in)',b'165 g (5.82 oz)',,,b'Nano-SIM',b'AMOLED',"b'5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~534 ppi density)'","b'Scratch-resistant glass, oleophobic coating'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8996 Snapdragon 820 (14 nm)',b'Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)',b'Adreno 530',b'microSDXC (dedicated slot)',b'32GB 4GB RAM',,,"b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 720p@120fps'","b'21 MP, f/2.0, PDAF'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",b'Black',"b'BBA100-2, BBA100-1'",,,b'About 250 EUR',,,,,b'Fast charging 18W Quick Charge 3.0',,,,,,,"b'8 MP, f/2.2'",b'Up to 336 h (3G)',b'Up to 26 h (3G)',b'Up to 88 h',,,,,,
b'blackberry',b'BlackBerry DTEK50',b'https://fdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',"b'1, 2, 3, 4, 5, 7, 12, 17, 20, 29, 30 - USA'",b'HSDPA 850 / 900 / 1900 / 2100 - EMEA',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, July'","b'Available. Released 2016, August'",b'147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in)',b'135 g (4.76 oz)',,,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'","b'Scratch-resistant glass, oleophobic coating'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8952 Snapdragon 617 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53)',b'Adreno 405',b'microSDXC (uses shared SIM slot)',b'16GB 3GB RAM',"b'1, 2, 3, 7, 8, 20, 28, 38, 40, 41 - EMEA'",,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.0, PDAF'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2610 mAh, non-removable'",b'Black',"b'STH100-2, STH100-1'",,,b'About 200 EUR',,,,,"b'Fast charging 18W, 50% in 51 min (advertised) Quick Charge 2.0'",b'eMMC 5.1',,,,,,"b'8 MP, f/2.2'",b'Up to 576 h (3G)',b'Up to 17 h (3G)',b'Up to 40 h',,,,,,
b'blackberry',b'BlackBerry Priv',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA (STV100-1), Europe (STV100-4)'","b'1, 2, 3, 4, 5, 7, 12, 17, 20, 29, 30 - USA (STV100-1)'","b'1, 2, 3, 4, 7, 8, 13, 17, 20, 28 - Europe (STV100-4)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2015, October. Released 2015, November'",b'Discontinued',b'147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in)',b'192 g (6.77 oz)',b'QWERTY',"b'Glass front (Gorilla Glass 4), plastic back, plastic frame'",b'Nano-SIM',b'AMOLED',"b'5.4 inches, 81.6 cm2 (~71.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~540 ppi density)'",b'Corning Gorilla Glass 4',"b'Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)'",b'Qualcomm MSM8992 Snapdragon 808 (20 nm)',b'Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)',b'Adreno 418',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'Capacitive touch 4-row BlackBerry keyboard',,"b'Schneider-Kreuznach optics, dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@60fps'","b'18 MP, f/2.2, 27mm (wide), 1/2.4"", PDAF, OIS'",b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.1, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',b'microUSB 2.0 (SlimPort 4K)',"b'Accelerometer, altimeter, gyro, ToF proximity, compass'","b'Li-Ion 3410 mAh, non-removable'",b'Black',"b'STV100-4, STV100-3, STV100-1, V100, STV100-2'",,,b'About 270 EUR',,,,,b'Fast charging 18W Quick Charge 2.0 Qi/PMA wireless charging - market dependent',b'eMMC 5.0',,b'Photo / Video',,,b'Endurance rating 62h',b'2 MP',b'Up to 420 h (3G)',b'Up to 24 h (3G)',b'Up to 73 h',,,,,,
b'blackberry',b'BlackBerry Leap',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700 / 1900 / 2100 - North America',"b'1, 2, 4, 5, 7, 13, 17 - North America'",b'HSDPA 850 / 900 / 1900 / 2100 - Global',"b'HSPA, LTE'","b'2015, March. Released 2015, April'",b'Discontinued',b'144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in)',b'170 g (6.00 oz)',,,b'Micro-SIM',"b'IPS LCD,'","b'5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'BlackBerry OS 10.3.1',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',"b'1, 3, 7, 8, 20 - Global'",,"b'LED flash, HDR, panorama'","b'1080p@30fps, 720p@60fps'","b'8 MP, f/2.2, 31mm (standard), AF'",b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2800 mAh, non-removable'","b'Black, White'",,,,b'About 80 EUR',,,,,,,,b'Photo / Video',,,b'Endurance rating 45h',b'2 MP',,b'Up to 25 h',,,,,,,
b'blackberry',b'BlackBerry Classic Non Camera',b'https://fdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'4, 13'",b'CDMA 800 / 1900',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2015, February. Released 2015, March'",b'Discontinued',b'131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in)',b'178 g (6.28 oz)',b'QWERTY',,b'Nano-SIM',"b'IPS LCD,'","b'3.5 inches, 39.5 cm2 (~41.7% screen-to-body ratio)'","b'720 x 720 pixels, 1:1 ratio (~291 ppi density)'",b'Corning Gorilla Glass 3',b'BlackBerry OS 10.3.1',,b'Dual-core 1.5 GHz Krait',,b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'CDMA2000 1xEV-DO',,,,,,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2500 mAh, non-removable'",b'Black',,b'1.41 W/kg (head) \xc2\xa0 \xc2\xa0 0.78 W/kg (body)',,b'About 180 EUR',,,,,,b'MP3/WMA/WAV/eAAC+/FlAC player DivX/XviD/MP4/WMV/H.264 player Photo/video editor Document viewer',,,,,,,b'Up to 384 h (3G)',b'Up to 22 h (3G)',,,,,,,
