Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Dual,Single_1,Charging,Models,Stand-by,Talk time,SAR EU,Music play,GPRS,EDGE,_1
b'lava',b'Lava Z6',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z6.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Corning Gorilla Glass 3',b'Android 10',b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'64GB 6GB RAM',b'eMMC 5.1',"b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 5 MP, (ultrawide) 2 MP, f/2.4, (depth)'",b'LED flash',b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"" 1.0\xc2\xb5m'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'","b'Blue, Red'",b'About 110 EUR',,,,,,,,,,,
b'lava',b'Lava Z4',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z4.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Corning Gorilla Glass 3',b'Android 10',b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',b'eMMC 5.1',"b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 5 MP, (ultrawide) 2 MP, f/2.4, (depth)'",b'LED flash',b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"" 1.0\xc2\xb5m'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'","b'Blue, Red'",b'About 100 EUR',,,,,,,,,,,
b'lava',b'Lava Z2',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z2.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Corning Gorilla Glass 3',b'Android 10 (Go edition)',b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@30fps',"b'8 MP, f/2.0, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Po 5000 mAh, non-removable'","b'Blue, Red'",b'About 80 EUR',"b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 2 MP, f/2.4, (depth)'",,,,,,,,,,
b'lava',b'Lava Z1',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z1.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 26'",b'145.1 x 73.3 x 10.3 mm (5.71 x 2.89 x 0.41 in)',b'-',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Corning Gorilla Glass 3',b'Android 10 (Go edition)',b'Mediatek MT6761 Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'No',b'16GB 2GB RAM',b'eMMC 5.1',,b'LED flash',b'720p@30fps',"b'5 MP, f/2.2'",,b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB',b'Accelerometer',"b'Li-Ion 3100 mAh, non-removable'","b'Blue, Red'",b'About 60 EUR',,"b'5 MP, f/2.2'",,,,,,,,,
b'lava',b'Lava Z61 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z61-pro.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, July 09'","b'Available. Released 2020, July'",b'147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in)',b'160 g (5.64 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT LCD',"b'5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'Android 9.0 (Pie)',,b'Octa-core 1.6 GHz processor',,b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide), 1.12\xc2\xb5'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Face ID, accelerometer, proximity'","b'Li-Po 3100 mAh, non-removable'","b'Midnight Blue, Amber Red'",b'About 70 EUR',,"b'5 MP, f/2.2, (wide), 1.12\xc2\xb5'","b'5W, 100% in 3h 30 min (advertised)'",,,,,,,,
b'lava',b'Lava Z71',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z71.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, January'","b'Available. Released 2020, January'",b'145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in)',b'150 g (5.29 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",,b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',b'5 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 3200 mAh, non-removable'","b'Ruby Red, Steel Blue'",b'About 80 EUR',b'13 MP 2 MP',,,,,,,,,,
b'lava',b'Lava Z40',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z40.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in)',b'120 g (4.23 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TN TFT',"b'4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 8.1 Oreo (Go edition)',b'Unisoc SC9832E',b'Quad-core 1.4 GHz',b'Mali',b'microSDXC',b'8GB 1GB RAM',,,"b'LED flash, HDR'",b'720p@30fps',b'2 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2250 mAh, removable'","b'Gold, Glossy Black'",b'About 3500 INR',,b'2 MP',,,,,,,,,
b'lava',b'Lava Z92',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z92-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, January'","b'Available. Released 2019, January'",b'156.9 x 75.8 x 8 mm (6.18 x 2.98 x 0.31 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Corning Gorilla Glass 3',b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'eMMC 5.1',,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 3260 mAh, non-removable'",b'Green',,,"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,
b'lava',b'Lava Z81',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z81.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, October'","b'Available. Released 2018, October'",b'152.2 x 73 x 7.9 mm (5.99 x 2.87 x 0.31 in)',b'141 g (4.97 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~75.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Corning Gorilla Glass 3',b'Android 8.1 (Oreo)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'",b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 3000 mAh, non-removable'","b'Black/Blue, Gold/Black'",,,"b'13 MP, f/2.0'",,b'Z81',,,,,,,
b'lava',b'Lava Z60s',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z60s.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'144.3 x 71.4 x 8.5 mm (5.68 x 2.81 x 0.33 in)',b'136 g (4.80 oz)',,"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6739WW (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'microSDXC',b'16GB 1GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@30fps',"b'5 MP, f/2.0, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2500 mAh, non-removable'","b'Gold, Black'",b'About 4950 INR',,"b'5 MP, f/2.4'",,b'Z60s',,,,,,,
b'lava',b'Lava Z61',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z61.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, July'","b'Available. Released 2018, July'",b'146.5 x 70.2 x 8.7 mm (5.77 x 2.76 x 0.34 in)',b'139 g (4.90 oz)',,"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~74.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 8.0 Oreo (Go edition) - 1 GB RAM modelAndroid 8.1 (Oreo) - 2 GB RAM model',b'Mediatek MT6739WW (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'microSDHC',"b'16GB 1GB RAM, 16GB 2GB RAM'",b'eMMC 5.1',,b'LED flash',b'1080p@30fps',"b'8 MP, f/2.0, 1/5.0"", 1.12\xc2\xb5m, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 3000 mAh, removable'","b'Gold, Black'",b'About 5700 INR',,"b'5 MP, f/2.4'",,"b'Z61, Z61_2GB'",,,,,,,
