Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE
b'oppo',b'Oppo A55 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a55-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'","b'1, 28, 41, 77, 78'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 25'","b'Available. Released 2021, January 25'",b'163.9 x 75.7 x 8.4 mm (6.45 x 2.98 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (peak)'","b'6.5 inches, 102.0 cm2 (~82.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 11, ColorOS 11.1'",b'MediaTek MT6833 Dimensity 700 5G (7 nm)',b'Octa-core (4x2.2 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57 MC2',b'microSDXC',b'128GB 6GB RAM',"b'13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Black, Blue'",b'PEMM00',b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A93 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a93-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',b'SA/NSA (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 14'","b'Available. Released 2021, January 20'",b'162.9 x 74.7 x 8.4 mm (6.41 x 2.94 x 0.33 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.5 inches, 102.0 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 11, ColorOS 11.1'",b'Qualcomm SM4350 Snapdragon 480 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460)',b'Adreno 619',b'No',b'256GB 8GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",b'8 MP',b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Black, White, Aurora'",b'PCGM00',b'About 260 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A15s',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a15s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 18'","b'Available. Released 2020, December 18'",b'164 x 75.4 x 7.9 mm (6.46 x 2.97 x 0.31 in)',b'177 g (6.24 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (typ)'","b'6.52 inches, 102.6 cm2 (~83.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',b'64GB 4GB RAM',"b'13 MP, f/2.2, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4230 mAh, non-removable'",b'Charging 10W',"b'Dynamic Black, Fancy White'",b'CPH2179',b'About 130 EUR',"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno5 4G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno-5-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 31'","b'Available. Released 2021, January 09'",b'159.1 x 73.3 x 7.7 mm (6.26 x 2.89 x 0.30 in)',b'171 g (6.03 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 90Hz, 430 nits (typ), 600 nits (peak)'","b'6.43 inches, 99.8 cm2 (~85.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 11, ColorOS 11.1'",b'Qualcomm SM7125 Snapdragon 720G (8 nm)',b'Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)',b'Adreno 618',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS, HDR'","b'44 MP, f/2.4, 24mm (wide)'",b'HDR',"b'1080p@30/120fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS'",b'No',b'Unspecified',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4310 mAh, non-removable'",b'Fast charging 50W Reverse charging SuperVOOC',"b'Black, Silver'",b'CPH2159',b'About 310 EUR',,b'Corning Gorilla Glass 3',"b'64 MP, f/1.7, 26mm (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno5 Pro+ 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno5-pro-plus-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 24'","b'Available. Released 2021, January 05'",b'159.9 x 72.5 x 8 mm (6.30 x 2.85 x 0.31 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 90Hz, HDR10+, 800 nits (typ), 1100 nits (peak)'","b'6.55 inches, 103.6 cm2 (~89.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 11, ColorOS 11.1'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'",,"b'Dual LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps; gyro-EIS, OIS, HDR'","b'32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 65W SuperVOOC 2.0 Reverse charging',"b'Black, Blue'","b'PDRM00, PDRT00'",b'About 500 EUR',"b'Glass front, glass back, aluminum frame'",b'Unspecified',"b'50 MP, f/1.8, (wide), 1/1.56"", PDAF, OIS 13 MP, f/2.4, (telephoto), PDAF, optical zoom 16 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (macro)'",b'CDMA2000 1xEV-DO',b'UFS 3.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A53 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a53-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41'","b'1, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA)'","b'2020, December 18'","b'Available. Released 2020, December 21'",b'162.2 x 75 x 7.9 mm (6.39 x 2.95 x 0.31 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~83.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, ColorOS 7.2'",b'MediaTek MT6853V Dimensity 720 5G (7 nm)',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'16 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'","b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4040 mAh, non-removable'",b'Charging 10W',"b'Black, Green, Purple'","b'PECM30, PECT30'",b'About 160 EUR',,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno5 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno5-pro-5g-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International'","b'1, 3, 7, 28, 38, 40, 41, 77, 78 SA/NSA - International'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 10'","b'Available. Released 2021, January 05'",b'159.7 x 73.2 x 7.6 mm (6.29 x 2.88 x 0.30 in)',b'173 g (6.10 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 90Hz, HDR10+, 800 nits (typ), 1100 nits (peak)'","b'6.55 inches, 103.6 cm2 (~88.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 11, ColorOS 11.1'",b'Mediatek MT6889Z Dimensity 1000+ (7nm)',b'Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55)',b'Mali-G77 MC9',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS, HDR'","b'32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',"b'1080p@30fps, gyro-EIS'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes (market/region dependent)',b'Unspecified',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4350 mAh, non-removable'",b'Fast charging 65W Reverse charging SuperVOOC 2.0',"b'Astral Blue, Starry Black, Starry Dream, Star Wish Red'","b'PDSM00, PDST00, CPH2201'",b'About 410 EUR',"b'Glass front, glass back, aluminum frame'",b'Unspecified',"b'64 MP, f/1.7, 26mm (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41 - China'",b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno5 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno5-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China'","b'1, 3, 41, 77, 78 SA/NSA - China'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 10'","b'Available. Released 2021, January 07'",b'159.1 x 73.4 x 7.9 mm (6.26 x 2.89 x 0.31 in)',b'172 g or 180 g (6.07 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 90Hz, 600 nits (typ), 750 nits (peak)'","b'6.43 inches, 99.3 cm2 (~85.1% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~410 ppi density)'","b'Android 11, ColorOS 11.1'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS, HDR'","b'32 MP, f/2.4, 24mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',"b'1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',b'Unspecified',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",b'Fast charging 65W Reverse charging SuperVOOC 2.0',"b'Aurora Blue, Moonlight Black, Starry Dream'","b'PEGM00, PEGT00, CPH2145'",b'About 340 EUR',"b'Glass front, glass back, aluminum frame'",b'Unspecified',"b'64 MP, f/1.7, (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A73 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a73-5g-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 4'","b'Available. Released 2020, November 4'",b'162.2 x 75 x 7.9 mm (6.39 x 2.95 x 0.31 in)',b'177 g (6.24 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~83.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~405 ppi density)'","b'Android 10, ColorOS 7.2'",b'MediaTek MT6853V Dimensity 720 5G (7 nm)',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'","b'1080p@30fps, gyro-EIS'","b'8 MP, f/2.0, 26mm (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",,b'Unspecified',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 4040 mAh, non-removable'",b'Fast charging 18W',"b'Navy Black, Neon'",b'CPH2161',b'$\xe2\x80\x89519.00 / \xc2\xa3\xe2\x80\x89429.00 / \xe2\x82\xac\xe2\x80\x89265.00',,,,,,b'$\xe2\x80\x89519.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno4 F',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno-4f.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UFS 2.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 10'","b'Available. Released 2020, October 16'",b'160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ), 800 nits (peak)'","b'6.43 inches, 99.8 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6779V Helio P95 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 18W',"b'Matte Black, Metallic White'",,b'About 250 EUR',"b'Glass front, plastic back'",,"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'",,,,"b'16 MP, f/2.4, (wide), 1/3.09"", 1.0\xc2\xb5m 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A15',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a15.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 15'","b'Available. Released 2020, October 27'",b'164 x 75.4 x 7.9 mm (6.46 x 2.97 x 0.31 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (typ)'","b'6.52 inches, 102.6 cm2 (~83.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',"b'32GB 2GB RAM, 32GB 3GB RAM'","b'13 MP, f/2.2, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.4, (wide)'",b'HDR',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4230 mAh, non-removable'",b'Charging 10W',"b'Dynamic Black, Mystery Blue'",b'CPH2185',"b'\xc2\xa3\xe2\x80\x8995.33 / \xe2\x82\xb9\xe2\x80\x898,900'","b'Glass front, plastic back, plastic frame'",,,,,,,b'\xc2\xa3\xe2\x80\x8995.33',b'\xc2\xa3\xe2\x80\x8995.33',,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A53s',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a53-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - Version 2',"b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - Version 1, Version 3'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 20, 26, 28, 38, 39, 40, 41, 66 - Version 1'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 12'","b'Available. Released 2020, October 17'",b'163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, ColorOS 7.2'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Electric Black, Fancy Blue'","b'CPH2139, CPH2135'",b'\xc2\xa3\xe2\x80\x89196.95 / \xe2\x82\xac\xe2\x80\x89149.00',,b'Corning Gorilla Glass 3',,"b'1, 3, 5, 8, 38, 40, 41 - Version 2'",b'UFS 2.1 (single lane)',,,,,b'0.77 W/kg (head) \xc2\xa0 \xc2\xa0 0.97 W/kg (body)',b'\xc2\xa3\xe2\x80\x89196.95',,,,,,,,,,,,,,,,,,,,,,,
