Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'sharp',b'Sharp Aquos Zero 2',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP68 dust/water resistant (up to 1.5m for 30 mins)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'Dolby Vision',"b'1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 28, 38, 39, 41 - Taiwan'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, May 22'","b'Available. Released 2020, May 22'",b'158 x 74 x 8.8 mm (6.22 x 2.91 x 0.35 in)',b'141 g (4.97 oz)',,b'Nano-SIM',b'24-bit/192kHz audio',"b'OLED, 1B colors, 240Hz, HDR10'","b'6.4 inches, 100.5 cm2 (~86.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 6',b'Android 10',b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',b'256GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'8 MP, f/2.2, 23mm (wide)'",b'HDR',"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 3130 mAh, non-removable'",b'Fast charging USB Power Delivery 2.0',b'Blue',,,,b'About 670 EUR',,,,,,,,,,,,,,,"b'12.2 MP, f/1.7, (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 20 MP, f/2.4, 125\xcb\x9a (ultrawide), AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos V',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 13, 20, 38, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat9 450/50 Mbps'","b'2019, November'","b'Available. Released 2019, November'",b'157 x 76 x 9 mm (6.18 x 2.99 x 0.35 in)',b'173 g (6.10 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.9 inches, 89.8 cm2 (~75.3% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~409 ppi density)'",b'Corning Gorilla Glass 5',b'Android 9.0 (Pie)',b'Qualcomm MSM8998 Snapdragon 835 (10 nm)',b'Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo)',b'Adreno 540',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps (gyro-EIS)'","b'8 MP, f/2.0'",b'HDR',b'1080p@30fps (gyro-EIS)',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3090 mAh, non-removable'",,b'Black',b'SH-C02',,,b'About 210 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.0, PDAF, OIS 13 MP B/W'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos Zero',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP68 dust/water resistant (up to 1.5m for 30 mins)',b'HSDPA 900 / 2100',b'Dolby Vision',"b'1, 3, 7, 8, 28, 38'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 1024/50 Mbps'","b'2019, January'","b'Available. Released 2019, January'",b'154 x 73 x 8.8 mm (6.06 x 2.87 x 0.35 in)',b'146 g (5.15 oz)',"b'Glass front (Gorilla Glass 5), aluminum frame'",b'Nano-SIM',b'24-bit/192kHz audio',"b'OLED, HDR10'","b'6.2 inches, 96.9 cm2 (~86.2% screen-to-body ratio)'","b'1440 x 2992 pixels, 18.7:9 ratio (~536 ppi density)'",b'Corning Gorilla Glass 5',b'Android 9.0 (Pie)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',b'No',b'128GB 6GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps (gyro-EIS)'","b'22.6 MP, f/1.9, 22 mm, PDAF, OIS'",b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3130 mAh, non-removable'",b'Fast charging 18W USB Power Delivery 2.0',b'Meteorite Black',,,,b'About 600 EUR',,,,,,,,,,,,,,,,,"b'8 MP, f/2.2, 23 mm'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos R2 compact',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2-compact-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP68 dust/water resistant (up to 1.5m for 30 mins)',b'HSDPA 800 / 850 / 900 / 2100',b'24-bit/192kHz audio',"b'1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, November'","b'Available. Released 2019, January'",b'131 x 64 x 9.3 mm (5.16 x 2.52 x 0.37 in)',b'135 g (4.76 oz)',"b'Glass front (Gorilla Glass 3), plastic back, aluminum frame'",b'Nano-SIM',,"b'IGZO IPS LCD, 120Hz, HDR10'","b'5.2 inches, 67.5 cm2 (~80.5% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~485 ppi density)'",b'Corning Gorilla Glass 3',b'Android 9.0 (Pie)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps (gyro-EIS)'","b'22.6 MP, f/1.9, 22 mm, PDAF, OIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 2500 mAh, non-removable'",b'Fast charging 18W USB Power Delivery 2.0',"b'Smokey Green, Deep White, Pure Black'",,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.2, 23 mm'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos D10',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-d10-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 20'",,"b'HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, August'","b'Available. Released 2018, October'",b'148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in)',b'165 g (5.82 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 8.0 (Oreo), Sharp UI'",b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core (4x2.6 GHz Cortex-A53 & 4x1.8 GHz Cortex A53)',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 2900 mAh, non-removable'",,b'Black',,,,b'About 400 EUR',,,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, PDAF 13 MP, 1/3.4"", 1.0\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos B10',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-b10-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 20'",,"b'HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, July'","b'Available. Released 2018, July'",b'153.5 x 71.9 x 8.8 mm (6.04 x 2.83 x 0.35 in)',b'175 g (6.17 oz)',,"b'Hybrid Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",,b'TFT',"b'5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Corning Gorilla Glass (unspecified version)',"b'Android 7.0 (Nougat), Sharp UI'",b'Mediatek MT6750T (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.2'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',"b'Stereo FM radio, RDS'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,b'Black',,,b'0.47 W/kg (head)',b'About 300 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.0, AF 8 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos C10',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-c10-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 7, 8, 20'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, July'","b'Available. Released 2018, July'",b'141.8 x 72 x 7.9 mm (5.58 x 2.83 x 0.31 in)',b'140 g (4.94 oz)',"b'Glass front (Gorilla Glass), glass back, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 80.7 cm2 (~79.0% screen-to-body ratio)'","b'1080 x 2040 pixels, 17:9 ratio (~420 ppi density)'",b'Corning Gorilla Glass (unspecified version)',"b'Android 8.0 (Oreo), Sharp UI'",b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53)',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.0, 1/3.2"", 1.4\xc2\xb5m'",b'1080p@30fps',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 2700 mAh, non-removable'",b'Fast charging 18W Huawei SuperCharge',b'Black',,,b'0.35 W/kg (head)',b'About 400 EUR',,,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, PDAF 8 MP, f/2.0, 1/3.2"", 1.4\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos S3 High',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',b'eMMC 5.1',"b'1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, June'","b'Available. Released 2018, July'",b'148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in)',b'167.4 g (5.93 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IGZO IPS LCD',"b'6.0 inches, 92.9 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",,b'Android 8.0 (Oreo)',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',b'64GB 8GB RAM',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3200 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0 Qi wireless charging 7.5W',"b'Black, Gold'",,,,b'About 400 EUR',,,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF 13 MP, 2x optical zoom'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos R2',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',b'IPX5/IPX8/IP6X',"b'1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, May'","b'Available. Released 2018, May'",b'156 x 74 x 9 mm (6.14 x 2.91 x 0.35 in)',b'181 g (6.38 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IGZO IPS LCD',"b'6.0 inches, 89.9 cm2 (~77.8% screen-to-body ratio)'","b'1440 x 3040 pixels, 19:9 ratio (~561 ppi density)'",,b'Android 8.0 (Oreo)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'4K@30fps (dedicated video camera)',b'16.3 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3130 mAh, non-removable'",b'Charging 10W',"b'Black, White'","b'706SH, SHV42'",,,b'About 350 EUR',,,,,,,,,,,,,,,"b'22.6 MP, PDAF 16.3 MP, PDAF (for video recording only)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos S3',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, March'","b'Available. Released 2018, April'",b'148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in)',b'165.4 g (5.82 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IGZO IPS LCD',"b'6.0 inches, 92.9 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",,b'Android 8.0 (Oreo)',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 6GB RAM',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3200 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',"b'Black,Blue, Gold'",b'FS8032',,,b'About 400 EUR',,,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF 13 MP, 2x optical zoom'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos S3 mini',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-mini.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, March'","b'Available. Released 2018, March'",b'142.7 x 73 x 7.8 mm (5.62 x 2.87 x 0.31 in)',b'140 g (4.94 oz)',"b'Glass front, glass back, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IGZO IPS LCD',"b'5.5 inches, 80.7 cm2 (~77.5% screen-to-body ratio)'","b'1080 x 2040 pixels, 17:9 ratio (~420 ppi density)'",,b'Android 7.1.1 (Nougat)',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 6GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'16 MP, f/2.0, PDAF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3020 mAh, non-removable'",b'Charging 10W',"b'Black,Blue, Gold'",,,,b'About 250 EUR',,,,,,,,,,,,,,,,,"b'20 MP, f/2.0, (wide), 1/3"", 0.9\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Pi',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-pi.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, February'","b'Available. Released 2018, March'",b'-',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.2 inches, 74.5 cm2'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6737M (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',b'microSDXC',b'16GB 2GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',b'8 MP',,b'',b'Yes',b'No',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity'",b'Li-Ion 3000 mAh battery',,"b'White/Gold, black'",,,,b'About 110 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.2, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp R1S',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-r1s1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, February'","b'Available. Released 2018, March'",b'-',b'-',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 83.4 cm2'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'Android 7.0 (Nougat)',b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',"b'5 MP, f/2.4'",,b'',b'Yes',b'No',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity'","b'Li-Ion 5000 mAh, non-removable'",b'Reverse charging',b'Black',"b'FS8028, FS8014'",,,b'About 170 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.0, AF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sharp',b'Sharp Aquos S2',b'https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s2.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1900 / 2100',b'eMMC 5.1',"b'1, 3, 4, 5, 7, 8, 12, 28, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, August'","b'Available. Released 2017, August'",b'141.8 x 72 x 7.9 mm (5.58 x 2.83 x 0.31 in)',b'140 g (4.94 oz)',"b'Glass front (Gorilla Glass), glass back, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 80.7 cm2 (~79.0% screen-to-body ratio)'","b'1080 x 2040 pixels, 17:9 ratio (~420 ppi density)'",b'Corning Gorilla Glass (unspecified version)',b'Android 7.1.1 (Nougat)',b'Qualcomm SDM630 Snapdragon 630 (14 nm) - 64/4GBQualcomm SDM660 Snapdragon 660 (14 nm) - 128/6GB',b'Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53) - 64/4GBOcta-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver) - 128/6GB',b'Adreno 508 - 64/4GBAdreno 512 - 128/6GB',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.0, 1/3.2"", 1.4\xc2\xb5m'",,b'',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3020 mAh, non-removable'",b'Charging 10W',"b'White, Black, Blue, Green'",b'FS8010',,,b'About 450 EUR',b'GeekBench: 4046 (v4.4)GFXBench: 5.6fps (ES 3.1 onscreen)',,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.55"", 1/3.2"", 1.4\xc2\xb5m, dual pixel PDAF 8 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
