Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time,Keyboard,Browser,Alert types
b'hp',b'HP Elite x3',b'https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, August'",b'161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in)',b'195 g (6.88 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.96 inches, 97.5 cm2 (~72.2% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~494 ppi density)'",b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',b'Microsoft Windows 10',b'Qualcomm MSM8996 Snapdragon 820 (14 nm)',b'Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)',b'Adreno 530',b'microSDXC (uses shared SIM slot) - dual SIM model only',b'64GB 4GB RAM',b'Tuned by Bang & Olufsen',,"b'LED flash, HDR, panorama'",b'1080p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',,b'No',b'USB Type-C 3.0; magnetic connector',"b'Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4150 mAh, non-removable'",b'Qi/PMA wireless charging',b'Black',b'Microsoft Continuum support',,b'About 700 EUR',,"b'16 MP, f/2.2, AF'",,,,,,,,,,b'8 MP',,b'Corning Gorilla Glass 4',,,,,,,,,,,,,,,,,
b'hp',b'HP Slate 17',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2014, September. Released 2014, September'",b'Discontinued',b'418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in)',b'2005 g (4.42 lb)',b'No',b'IPS LCD',"b'17.3 inches, 825.1 cm2 (~69.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~127 ppi density)'",b'Built-in 2 kickstands',b'Android 4.4.2 (KitKat)',b'Intel Celeron N2807',b'Dual-core 1.58 GHz',,b'microSDHC (dedicated slot); SDHC',b'32GB 2GB RAM',b'No',,,b'720p@30fps',,,,"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct'","b'4.0, A2DP'",b'No',b'No',,b'No',b'USB 2.0',b'Accelerometer',"b'Li-Po (43 Wh, 3-cell)'",,"b'Snow White, Sweet Yellow'",b'HDMI port',,b'About 370 EUR',,b'0.9 MP',,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,b'Up to 7 h 45 min (multimedia)',,,
b'hp',b'HP Pro Slate 12',b'https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,,b'HSPA',"b'2015, January. Released 2015, January'",b'Discontinued',b'300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in)',b'850 g (1.87 lb)',b'Nano-SIM',b'IPS LCD',"b'12.3 inches, 468.5 cm2 (~70.3% screen-to-body ratio)'","b'1200 x 1600 pixels, 4:3 ratio (~163 ppi density)'",b'HP Duet Pen',b'Android 4.4.4 (KitKat)',b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',b'microSDHC (dedicated slot)',b'32GB 2GB RAM',b'eMMC 4.5',,b'HDR',b'1080p@30fps',,,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',,b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass, barometer'",b'Li-Po (21 Wh)',,b'Silver',,,b'About 490 EUR',,"b'8 MP, AF'",,,,,,,,,,b'2 MP',,b'Corning Concore Glass',,,,,,,,,,,,,,b'Up to 10 h (multimedia)',,,
b'hp',b'HP Pro Slate 10 EE G1',b'https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2015, January. Released 2015, January'",b'Discontinued',b'280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in)',b'855 g (1.88 lb)',b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~58.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Optional mobile dock with standard QWERTY keyboard and trackpad',b'Android 4.4.4 (KitKat)',b'Intel Atom Z3735G',b'Quad-core 1.33 GHz',,b'microSDHC (dedicated slot)',"b'16GB 1GB RAM, 32GB 2GB RAM'",b'HDMI port',,,b'Yes',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'Yes',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, compass'","b'Li-Ion 8380 mAh, non-removable (28.5 Wh)'",,b'Black',,,b'About 240 EUR',,"b'5 MP, AF or 2 MP, AF'",,,,,,b'No',b'No',,,b'2 MP or 1.3 MP',,,,,,,,,,,,,,,,,,,
b'hp',b'HP Pro Slate 8',b'https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,,b'HSPA',"b'2015, January. Released 2015, January'",b'Discontinued',b'207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in)',b'350 g (12.35 oz)',b'Nano-SIM',b'IPS LCD',"b'7.86 inches, 191.3 cm2 (~67.5% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~326 ppi density)'",b'HP Duet Pen',b'Android 4.4.4 (KitKat)',b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',b'microSDHC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'",b'eMMC 4.5',,b'HDR',b'1080p@30fps',,,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',,b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 5900 mAh, non-removable (21 Wh)'",,b'Gray',,,b'About 390 EUR',,"b'8 MP, AF'",,,,,,,,,,b'2 MP',,b'Corning Gorilla Glass 4',,,,,,,,,,,,,,,,,
b'hp',b'HP Slate6 VoiceTab II',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2014, November. Released 2014, November'",b'Discontinued',b'165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in)',b'160 g (5.64 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~72.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Marvell PXA1088',b'Quad-core 1.2 GHz',,b'microSDXC',b'16GB 1GB RAM',,,b'LED flash',b'Yes',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, EDR'","b'Yes, with A-GPS'",b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, removable'",,b'Silver',,,b'About 200 EUR',,"b'8 MP, AF'",,,,,,,,,,b'2 MP',,,,,,,,,,,,,b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 0.28 W/kg (body)',b'0.15 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',b'Up to 750 h (2G) / Up to 750 h (3G)',b'Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G)',,,
b'hp',b'HP 10 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg',b'No cellular connectivity',b'N/A',,,,,b'2014. Released 2014',b'Discontinued',b'265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in)',b'660 g (1.46 lb)',b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~63.8% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'",,b'Android 4.4.2 (KitKat)',,b'Quad-core 1.0 GHz',,b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,,b'HDR',b'1080p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'No',,b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro'","b'Li-Po 7700 mAh, non-removable (28 Wh)'",,b'Black/Silver',,,,,"b'5 MP, AF'",,,,,,b'No',b'No',,,b'2 MP',,,,,,,,,,,,,,,,b'Up to 6 h (multimedia)',,,
b'hp',b'HP 7 VoiceTab',b'https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',,,b'HSPA',"b'2014, October. Released 2014, October'",b'Discontinued',b'192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in)',b'305 g (10.76 oz)',b'Micro-SIM',b'TFT',"b'6.95 inches, 135.9 cm2 (~69.2% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~171 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT8382 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,b'LED flash',b'Yes',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,b'Black/White',,,b'About 140 EUR',,b'5 MP',,,,,,b'Yes',b'Yes',,,b'VGA',,,,,,,,,,,,,,,,,,,
b'hp',b'HP 7 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2014, May. Released 2014, May'",b'Discontinued',b'192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in)',b'294.8 g (10.37 oz)',b'No',b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~58.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Allwinner A31',b'Quad-core 1.0 GHz Cortex-A7',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,,b'Yes',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'No',,b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 2800 mAh, non-removable'",,b'Silver',,,b'About 70 EUR',,b'2 MP',,,,,,b'No',b'No',,,b'VGA',,,,,,,,,,,,,,,,b'Up to 5 h 30 min (multimedia)',,,
b'hp',b'HP 8',b'https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2014, February. Released 2014, March'",b'Discontinued',b'200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in)',b'313 g (11.04 oz)',b'No',b'IPS LCD',"b'7.85 inches, 190.8 cm2 (~69.9% screen-to-body ratio)'","b'768 x 1024 pixels, 4:3 ratio (~163 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Allwinner A31',b'Quad-core 1.0 GHz Cortex-A7',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,,b'Yes',,,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro'","b'Li-Po 3800 mAh, non-removable'",,b'Silver',,,b'About 120 EUR',,b'2 MP',,,,,,b'No',b'No',,,b'VGA',,,,,,,,,,,,,,,,b'Up to 7 h (multimedia)',,,
b'hp',b'HP Slate7 VoiceTab Ultra',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 20, 40'",,"b'HSPA, LTE'",b'2014. Released 2014',b'Discontinued',b'183.5 x 103.9 x 7.2 mm (7.22 x 4.09 x 0.28 in)',b'239 g (8.43 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'7.0 inches, 142.1 cm2 (~74.5% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~323 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'HiSilicon Balong V9R1',b'Quad-core 1.6 GHz Cortex-A9',,b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable (19 Wh)'",,b'Champagne',,,b'About 400 EUR',,"b'13 MP, AF'",,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,b'Up to 480 h (3G)',b'Up to 10 h (multimedia) (3G)',,,
b'hp',b'HP Slate7 VoiceTab',b'https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',,,b'HSPA',"b'2014, January. Released 2014, February'",b'Discontinued',b'9.5 mm thickness',b'325 g (11.46 oz)',b'Dual SIM (Mini-SIM & Micro-SIM)',b'IPS LCD',"b'7.0 inches, 142.1 cm2'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Marvell PXA1088',b'Quad-core 1.2 GHz',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,"b'LED flash, panorama'",b'Yes',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, EDR'","b'Yes, with A-GPS'",b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 4100 mAh, non-removable'",,b'Black/White',,,b'About 180 EUR',,"b'5 MP, AF'",,,,,,b'Yes',b'Yes',,,b'2 MP',,,,,,,,,,,,,,,,,,,
b'hp',b'HP Slate6 VoiceTab',b'https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2014, January. Released 2014, February'",b'Discontinued',b'165 x 83.2 x 8.8 mm (6.50 x 3.28 x 0.35 in)',b'160 g (5.64 oz)',"b'Dual SIM, (dual stand-by)'",b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~72.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.3 (Jelly Bean)',b'Marvell PXA1088',b'Quad-core 1.2 GHz',,b'microSDXC (dedicated slot)',b'16GB 1GB RAM',,,"b'LED flash, panorama'",b'Yes',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, EDR'","b'Yes, with A-GPS'",b'No',,b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, removable'",,b'Black',,,b'About 270 EUR',,"b'5 MP, AF'",,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,,
b'hp',b'HP Slate8 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2013, December. Released 2013, December'",b'Discontinued',b'220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in)',b'453.6 g (1.00 lb)',b'No',b'IPS LCD',"b'8.0 inches, 198.2 cm2 (~63.7% screen-to-body ratio)'","b'1200 x 1600 pixels, 4:3 ratio (~250 ppi density)'",b'',b'Android 4.2.2 (Jelly Bean)',b'Nvidia Tegra 4 T40 S',b'Quad-core 1.8 GHz Cortex-A15',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',b'Beats Audio',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, LE'",b'Yes',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Po 5680 mAh, non-removable'",,b'Black/White',b'HDMI port',,b'About 240 EUR',,"b'8 MP, AF'",,,,,,b'No',b'No',,,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,b'Up to 11 h 30 min (multimedia)',,,
b'hp',b'HP Slate10 HD',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2013, December. Released 2013, December'",b'Discontinued',b'259 x 178 x 9.7 mm (10.20 x 7.01 x 0.38 in)',b'626 g (1.38 lb)',b'No',b'IPS LCD',"b'10.0 inches, 290.0 cm2 (~62.9% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~151 ppi density)'",b'Beats Audio',b'Android 4.2.2 (Jelly Bean)',b'Marvell PXA986',b'Dual-core 1.2 GHz',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,,b'1080p@30fps',,,b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'3.0',b'Yes',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Po 7000 mAh, non-removable'",,b'Black/Silver',,,b'About 220 EUR',,"b'5 MP, AF'",,,,,,b'No',b'No',,,b'2 MP',,,,,,,,,,,,,,,,b'Up to 10 h (multimedia)',,,
b'hp',b'HP Slate7 Extreme',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2013, December. Released 2013, December'",b'Discontinued',b'200 x 120 x 9.4 mm (7.87 x 4.72 x 0.37 in)',b'319.8 g (11.25 oz)',b'No',b'IPS LCD',"b'7.0 inches, 142.1 cm2 (~59.2% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Nvidia Tegra 4',b'Quad-core 1.8 GHz Cortex-A15',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,,b'720p',,,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',b'3.0',b'Yes',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Po 4100 mAh, non-removable'",,b'Black/Silver',,,b'About 150 EUR',,"b'5 MP, AF'",,,,,,b'No',b'No',,,b'VGA',,,,,,,,,,,,,,,,b'Up to 10 h 30 min (multimedia)',,,
b'hp',b'HP Slate7 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg',b'No cellular connectivity',b'N/A',,,,,"b'2013, December. Released 2013, December'",b'Discontinued',b'194.7 x 122.7 x 10.7 mm (7.67 x 4.83 x 0.42 in)',b'340.2 (11.99 oz)',b'No',b'IPS LCD',"b'7.0 inches, 142.1 cm2 (~59.5% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Nvidia Tegra 3',b'Quad-core 1.3 GHz Cortex-A9',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,,b'720p',,,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',b'3.0',b'Yes',b'No',,b'No',b'microUSB 2.0',"b'Accelerometer, compass'","b'Li-Po 4000 mAh, non-removable'",,b'Black/Silver',,,b'About 110 EUR',,"b'5 MP, AF'",,,,,,b'No',b'No',,,b'VGA',,,,,,,,,,,,,,,,b'Up to 7 h 30 min (multimedia)',,,
