Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'vivo',b'vivo X60 Pro+ 5G',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-x60-pro-plus.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'UFS 3.1',"b'1, 2, 3, 4, 7, 8, 12, 17, 20, 26, 28, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 21'","b'Coming soon. Exp. release 2021, January 30'",b'158.6 x 73.4 x 9.1 mm (6.24 x 2.89 x 0.36 in)',b'190.6 g (6.74 oz)',"b'Glass front, eco leather back, aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'32-bit/192kHz audio',"b'AMOLED, 120Hz, HDR10+, 1300 nits (peak)'","b'6.56 inches, 104.6 cm2 (~89.8% screen-to-body ratio)'",b'1080 x 2376 pixels (~398 ppi density)',,"b'Android 11, OriginOS 1.0'",b'Qualcomm SM8350 Snapdragon 888 (5 nm)',b'Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680',b'Adreno 660',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'50 MP, f/1.6, (wide), 1/1.31"", 1.2\xc2\xb5m, dual pixel PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom 32 MP, f/2.1, 50mm (telephoto), 1/2.8"", 0.8\xc2\xb5m, PDAF, 2x optical zoom 48 MP, 114\xcb\x9a (ultrawide), 1/2.0"", 0.8\xc2\xb5m, gimbal stabilization'","b'Zeiss optics, dual-LED dual-tone flash, HDR, panorama'","b'8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+'","b'32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',"b'4K@30fps, 1080p@30fps'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, NavIC'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4200 mAh, non-removable'",b'Fast charging 55W',"b'Orange, Dark Blue'",b'V2056A',,,b'About 640 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y31',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y31-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 20'","b'Available. Released 2021, January 20'",b'163.9 x 75.3 x 8.4 mm (6.45 x 2.96 x 0.33 in)',b'188 g (6.63 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.58 inches, 104.3 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2408 pixels, 20:9 ratio (~401 ppi density)'",,"b'Android 11, Funtouch 11'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',b'128GB 6GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'16 MP, f/2.0, (wide), 1/3.06"" 1.0\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 18W, 70% in 67 min (advertised)'","b'Racing Black, Ocean Blue'",b'V2036',,,"b'\xe2\x82\xb9\xe2\x80\x8916,490'",,,,,,,,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8916,490'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y20G',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y20g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 19'","b'Available. Released 2021, January 19'",b'164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in)',b'192.3 g (6.77 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",,"b'Android 10, Funtouch 11'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',b'128GB 6GB RAM',,"b'LED flash, HDR'",b'1080p@30fps',"b'8 MP, f/1.8, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Purist Blue, Obsidian Black'",,,,b'About 170 EUR',,,,,,,,,"b'13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y31s 5G',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y31s-5g.jpg',b'GSM / CDMA / HSPA / CDMA2000 / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 2100',b'CDMA2000 1x',"b'1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 12'","b'Available. Released 2021, January 15'",b'164.2 x 75.4 x 8.4 mm (6.46 x 2.97 x 0.33 in)',b'185.5 g (6.56 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 2.1',"b'IPS LCD, 90Hz'","b'6.58 inches, 104.8 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2408 pixels, 20:9 ratio (~400 ppi density)'",,"b'Android 11, Funtouch 10.5'",b'Qualcomm SM4350 Snapdragon 480 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460)',b'Adreno 619',b'No',"b'128GB 4GB RAM, 128GB 6GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Red, Gray, Aurora'",b'V2054A',,,b'About 190 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo iQOO 7',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-7.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 11'","b'Available. Released 2021, January 15'",b'162.2 x 75.8 x 8.7 mm (6.39 x 2.98 x 0.34 in)',b'209.5 g (7.41 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'24-bit/192kHz audio',"b'AMOLED, 120Hz, HDR10+'","b'6.62 inches, 106.5 cm2 (~86.6% screen-to-body ratio)'",b'1080 x 2400 pixels (~394 ppi density)',,"b'Android 11, OriginOS'",b'Qualcomm SM8350 Snapdragon 888 (5 nm)',b'Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680',b'Adreno 660',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 13 MP, f/2.5, 50mm (portrait), 1/2.8"", 0.8\xc2\xb5m, PDAF, 2x optical zoom 13 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'16 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 120W, 100% in 15 min (advertised)'","b'Gray, Blue, White'",b'V2049A',,,b'$\xe2\x80\x89789.00',,,,,,,b'$\xe2\x80\x89869.00',,,b'$\xe2\x80\x89789.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y20A',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y20-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 30'","b'Available. Released 2021, January 02'",b'164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in)',b'192 g (6.77 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",,"b'Android 10, Funtouch 11'",b'Qualcomm SDM439 Snapdragon 439 (12 nm)',b'Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53)',b'Adreno 505',b'microSDXC (dedicated slot)',b'64GB 3GB RAM',,"b'LED flash, HDR'",b'1080p@30fps',"b'8 MP, f/1.8, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Dawn White, Nebula Blue'",b'V2052',,,b'About 130 EUR',,,,,,,,,"b'13 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y20 2021',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y20-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 30'","b'Available. Released 2021, January 13'",b'164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in)',b'192 g (6.77 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",,"b'Android 10, Funtouch 11'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM'",,"b'LED flash, HDR'",b'1080p@30fps',"b'8 MP, f/1.8, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Dawn White, Nebula Blue'",b'V2043',,,b'About 120 EUR',,,,,,,,,"b'13 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo X60 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-x60-pro.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'UFS 3.1',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 29'","b'Available. Released 2021, January 08'",b'158.6 x 73.2 x 7.6 mm (6.24 x 2.88 x 0.30 in)',b'178 g (6.28 oz)',"b'Glass front, glass back, aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'32-bit/192kHz audio',"b'AMOLED, 120Hz, HDR10+'","b'6.56 inches, 104.6 cm2 (~90.1% screen-to-body ratio)'",b'1080 x 2376 pixels (~398 ppi density)',,"b'Android 11, OriginOS'",b'Exynos 1080 (5 nm)',b'Octa-core (1x2.8 GHz & 3x2.6 GHz & 4x2.0 GHz)',,b'No',b'256GB 12GB RAM',"b'48 MP, f/1.5, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom 13 MP, f/2.5, 50mm (portrait), 1/2.8"", 0.8\xc2\xb5m, PDAF, 2x optical zoom 13 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide)'","b'Zeiss optics, LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4200 mAh, non-removable'",b'Fast charging 33W',"b'Gray, Aurora'",b'V2047A',,,b'About 560 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo X60 5G',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-x60.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'UFS 3.1',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 29'","b'Available. Released 2021, January 08'",b'159.6 x 75 x 7.4 mm (6.28 x 2.95 x 0.29 in)',b'175.6 g (6.21 oz)',"b'Glass front, glass back, aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'AMOLED, 120Hz, HDR10+'","b'6.56 inches, 104.6 cm2 (~87.4% screen-to-body ratio)'",b'1080 x 2376 pixels (~398 ppi density)',,"b'Android 11, OriginOS'",b'Exynos 1080 (5 nm)',b'Octa-core (1x2.8 GHz & 3x2.6 GHz & 4x2.0 GHz)',,b'No',"b'128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 13 MP, f/2.5, 50mm (portrait), 1/2.8"", 0.8\xc2\xb5m, PDAF, 2x optical zoom 13 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide)'","b'Zeiss optics, LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4300 mAh, non-removable'",b'Fast charging 33W',"b'Gray, Aurora, White'",b'V2046A',,,b'About 440 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo V20 2021',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-v20-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'24-bit/192kHz audio',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 24'","b'Available. Released 2020, December 24'",b'161.3 x 74.2 x 7.4 mm (6.35 x 2.92 x 0.29 in)',b'171 g (6.03 oz)',"b'Glass front, glass back'","b'Dual SIM (Nano-SIM, dual stand-by)'",,b'AMOLED',"b'6.44 inches, 100.1 cm2 (~83.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'",,"b'Android 11, Funtouch 11'",b'Qualcomm SDM730 Snapdragon 730 (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'44 MP, f/2.0, (wide), AF'",b'HDR',"b'4K@30fps, 1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 33W',"b'Sunset Melody, Midnight Jazz, Moonlight Sonata'",b'V2040',,,"b'\xe2\x82\xb9\xe2\x80\x8924,990'",,,,,,,,,"b'64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m, AF 2 MP, f/2.4, (depth)'","b'\xe2\x82\xb9\xe2\x80\x8924,990'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo Y30 Standard',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-y12s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, December 16'","b'Available. Released 2020, December 16'",b'164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in)',b'191.4 g (6.77 oz)',"b'Glass front, plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",,"b'Android 10, Funtouch 10.5'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, f/1.8'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W  Reverse charging 5W',"b'Aurora, Glacier Blue'",,,,b'About 180 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vivo',b'vivo iQOO U3',b'https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-u3.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 2100',b'UFS 2.2',"b'1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41'","b'1, 28, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 14'","b'Available. Released 2020, December 18'",b'164.2 x 75.4 x 8.4 mm (6.46 x 2.97 x 0.33 in)',b'185.5 g (6.56 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 90Hz, HDR10, 460 nits (typ)'","b'6.58 inches, 104.3 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2408 pixels, 20:9 ratio (~401 ppi density)'",,"b'Android 10, IQOO UI 1.5'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'8 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'White, Gray, Aurora'",b'V2061A',,,b'About 200 EUR',,,,,,,,,,,,,,,"b'48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
