Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Triple,Single,128GB 6GB RAM,Build,Models,128GB 4GB RAM,32GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Single_1,256GB 8GB RAM,SAR,Protection,256GB 12GB RAM,256GB 6GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Stand-by_1,Talk time_1,Alert types,Languages,Clock,Alarm
b'motorola',b'Motorola Edge S',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-edge-s.jpg',b'GSM / CDMA / HSPA / CDMA2000 / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1x',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 66'","b'1, 3, 5, 7, 8, 28, 38, 41, 66, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 26'","b'Coming soon. Exp. release 2021, Februrary 03'",b'168.4 x 74 x 9.7 mm (6.63 x 2.91 x 0.38 in)',b'215 g (7.58 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 3.1',"b'IPS LCD, 90Hz, HDR10, 560 nits (typ)'","b'6.7 inches, 104.9 cm2 (~84.1% screen-to-body ratio)'","b'1080 x 2520 pixels, 21:9 ratio (~409 ppi density)'",b'Android 11',b'Qualcomm SM8250-AC Snapdragon 870 5G (7 nm)',b'Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)',b'Adreno 650',b'microSDXC',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'64 MP, f/1.7, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 16 MP, 121\xcb\x9a (ultrawide), 1.0\xc2\xb5m, PDAF 2 MP, (depth) TOF 3D'","b'Dual-LED flash, panorama, HDR'","b'6K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, (wide), 1.0\xc2\xb5m 8 MP, 100\xcb\x9a (ultrawide), 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 20W',"b'Blue, Silver'",b'About 250 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola One 5G Ace',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-one-5g-ace.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71'","b'2, 5, 25, 41, 66, 71 Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 08'","b'Available. Released 2021, January 14'",b'166.1 x 76.1 x 9.9 mm (6.54 x 3.00 x 0.39 in)',b'212 g (7.48 oz)',b'Nano-SIM',,"b'LTPS IPS LCD, HDR10'","b'6.7 inches, 108.4 cm2 (~85.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~393 ppi density)'",b'Android 10',b'Qualcomm SM7225 Snapdragon 750G 5G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570)',b'Adreno 619',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'Yes',b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W',"b'Volcanic Gray, Frosted Silver'",b'$\xe2\x80\x89399.99',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 2 MP, f/2.4, (macro), AF'","b'16 MP, f/2.2, (wide), 1.0\xc2\xb5m'",b'$\xe2\x80\x89399.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G Stylus (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-2021.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'Stylus Water-repellent coating',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 29, 38, 40, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 08'","b'Available. Released 2021, January 14'",b'169.8 x 77.9 x 9 mm (6.69 x 3.07 x 0.35 in)',b'213 g (7.51 oz)',b'Nano-SIM',,b'IPS LCD',"b'6.8 inches, 112.2 cm2 (~84.8% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~386 ppi density)'",b'Android 10',b'Qualcomm SDM678 Snapdragon 678 (11 nm)',b'Octa-core (2x2.2 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0, 1.12\xc2\xb5m 2 MP, f/2.2, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps; gyro-EIS'",,b'HDR',"b'1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Aurora Black, Aurora White'",b'$\xe2\x80\x89299.99',,"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",,"b'Glass front, plastic frame, plastic back'",b'XT2115',b'$\xe2\x80\x89299.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G Power (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power-2021.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 25, 26, 29, 30, 38, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 08'","b'Available. Released 2021, January 14'",b'165.3 x 75.9 x 9.5 mm (6.51 x 2.99 x 0.37 in)',b'206.5 g (7.30 oz)',b'Nano-SIM',b'eMMC 5.1',b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.8% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'",,"b'LED flash, HDR, panorama'","b'1080p@30/60fps, gyro-EIS'",,b'HDR',"b'1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W',"b'Flash Gray, Polar Silver'",b'$\xe2\x80\x89199.99',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'8 MP, f/2.0, 1.12\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,b'$\xe2\x80\x89199.99',b'$\xe2\x80\x89249.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G Play (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-play-2021.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'2, 4, 5, 12, 14, 30, 66'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 38, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 08'","b'Available. Released 2021, January 14'",b'166.6 x 76 x 9.4 mm (6.56 x 2.99 x 0.37 in)',b'204 g (7.20 oz)',b'Nano-SIM',b'eMMC 5.1',b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~80.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Android 10',b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',"b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'No',b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',b'Misty Blue',b'$\xe2\x80\x89169.99',,"b'5 MP, f/2.2, (wide), 1.12\xc2\xb5m'",,"b'Plastic frame, plastic back'",,,b'$\xe2\x80\x89169.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto E7',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-r1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM',"b'HSDPA 850 / 900 / 1900 / 2100 - Europe, Asia'","b'1, 2, 3, 4, 5, 7, 8, 19, 28, 66 - LATAM'","b'1, 3, 5, 7, 8, 20, 38, 40, 41 - Europe'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, November 24'","b'Available. Released 2020, December 09'",b'164.9 x 75.7 x 8.9 mm (6.49 x 2.98 x 0.35 in)',b'180 g (6.35 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.5 inches, 102.8 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'MediaTek Helio G25 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',"b'32GB 2GB RAM, 64GB 4GB RAM'",,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Mineral Gray, Aqua Blue, Satin Coral'",b'\xc2\xa3\xe2\x80\x89109.00',,"b'5 MP, f/2.2'",,"b'Glass front, plastic frame, plastic back'",,,,,b'\xc2\xa3\xe2\x80\x89109.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G 5G',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 43'","b'1, 3, 5, 7, 8, 28, 38, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 05'","b'Available. Released 2020, December 07'",b'166.1 x 76.1 x 9.9 mm (6.54 x 3.00 x 0.39 in)',b'212 g (7.48 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'LTPS IPS LCD, HDR10'","b'6.7 inches, 108.4 cm2 (~85.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~393 ppi density)'",b'Android 10',b'Qualcomm SM7225 Snapdragon 750G 5G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570)',b'Adreno 619',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 20W',"b'Volcanic Gray, Frosted Silver'",b'\xe2\x82\xac\xe2\x80\x89299.99 / \xc2\xa3\xe2\x80\x89249.99',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 2 MP, f/2.4, (macro), AF'","b'16 MP, f/2.2, (wide), 1.0\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,,b'\xe2\x82\xac\xe2\x80\x89299.99',,b'AnTuTu: 312461 (v8) GeekBench: 1980 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)',b'Contrast ratio: 1419:1',b'Photo / Video',b'-28.1 LUFS (Average)',b'Endurance rating 131h',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G9 Power',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 05'","b'Available. Released 2020, December 05'",b'172.1 x 76.8 x 9.7 mm (6.78 x 3.02 x 0.38 in)',b'221 g (7.80 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.8 inches, 109.8 cm2 (~83.1% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',b'Android 10',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'128GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 20W',"b'Electric Violet, Metallic Sage'",b'$\xe2\x80\x89365.00 / \xc2\xa3\xe2\x80\x89179.99',"b'64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'16 MP, f/2.2, 1.0\xc2\xb5m'",,,b'XT2091-3',b'$\xe2\x80\x89365.00',,,,,,,b'-28.6 LUFS (Average)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Razr 5G',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-5g-brush-gold.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71'","b'2, 5, 25, 41, 66, 71, 78 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G'","b'2020, September 09'","b'Available. Released 2020, September 15'",b'Unfolded: 169.2 x 72.6 x 7.9 mmFolded: 91.7 x 72.6 x 16 mm',b'192 g (6.77 oz)',b'Nano-SIM and/or eSIM',"b'Second external G-OLED display, 2.7 inches, 600 x 800 pixels'",b'Foldable P-OLED',"b'6.2 inches, 86.9 cm2 (~70.7% screen-to-body ratio)'",b'876 x 2142 pixels (~373 ppi density)',b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'No',b'256GB 8GB RAM',,"b'Dual-LED dual-tone flash, auto HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'",,b'Auto HDR',b'1080p@30/60fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 2800 mAh, non-removable'",b'Fast charging 15W',"b'Polished Graphite, Blush Gold, Liquid Mercury'","b'$\xe2\x80\x891,399.99 / \xe2\x82\xac\xe2\x80\x891,499.99 / \xc2\xa3\xe2\x80\x891,859.00'",,"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS'",,"b'Plastic front (opened), glass front (closed, Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame (7000 series), hinge (stainless steel)'",,,,,,,,,,,"b'20 MP, f/2.2, (wide), 0.8\xc2\xb5m'","b'$\xe2\x80\x891,399.99'",,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G9 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-plus-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66 Brazil'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 07'","b'Available. Released 2020, September 07'",b'170 x 78.1 x 9.7 mm (6.69 x 3.07 x 0.38 in)',b'223 g (7.87 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,"b'LTPS IPS LCD, HDR10'","b'6.81 inches, 112.0 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~386 ppi density)'",b'Android 10',b'Qualcomm SDM730 Snapdragon 730G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',b'microSDXC (uses shared SIM slot)',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 30W',"b'Rose Gold, Indigo Blue'",b'$\xe2\x80\x89259.99 / \xe2\x82\xac\xe2\x80\x89239.00 / \xc2\xa3\xe2\x80\x89198.99',,"b'16 MP, f/2.0, 29mm (standard)'",,"b'Glass front, plastic back, plastic frame'",b'XT2087-1',b'$\xe2\x80\x89259.99',,,,b'AnTuTu: 253105 (v8) GeekBench: 1695 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)',,b'Photo / Video',b'-29.0 LUFS (Average)',b'Endurance rating 136h',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto E7 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 19, 28, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 11'","b'Available. Released 2020, September 16'",b'165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in)',b'200 g (7.05 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Android 10',b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, (depth)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Navy Blue, Amber Bronze'",b'$\xe2\x80\x89159.95 / \xe2\x82\xac\xe2\x80\x89133.25 / \xc2\xa3\xe2\x80\x89126.55',,"b'8 MP, f/2.2, 26mm (wide), 1/4"", 1.12\xc2\xb5m'",,,b'XT2081-1',,,b'$\xe2\x80\x89159.95',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
