Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser,Alert types,Languages
b'infinix',b'Infinix Hot 10 Play',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-play.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 21'","b'Available. Released 2021, January 21'",b'171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.82 inches, 110.5 cm2 (~82.4% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',"b'Android 10 (Go edition), XOS 7'",b'MediaTek Helio G25 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 4GB RAM'","b'1, 3, 5, 8, 38, 40, 41'",,"b'Quad-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF Secondary unspecified camera'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Charging 10W',"b'Aegean Blue, Morandi Green, Obsidian Black, Purple'",,b'About 80 EUR',,,"b'8 MP, (wide)'",,"b'Glass front, plastic back, plastic frame'",,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Smart HD 2021',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-hd-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, December 16'","b'Available. Released 2020, December 24'",b'158.3 x 75.2 x 9.8 mm (6.23 x 2.96 x 0.39 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 500 nits (typ)'","b'6.1 inches, 91.3 cm2 (~76.7% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'","b'Android 10 (Go edition), XOS 6.2'",b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0'","b'Dual-LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Topaz Blue, Obsidian Black, Quartz Green'",b'X612B',b'About 70 EUR',,,"b'5 MP, f/2.0'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'0.53 W/kg (head) \xc2\xa0 \xc2\xa0 1.22 W/kg (body)',,,,
b'infinix',b'Infinix Zero 8i',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-8i.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'India',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, December 03'","b'Available. Released 2020, December 09'",b'168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in)',b'210.5 g (7.44 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.85 inches, 111.4 cm2 (~86.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~392 ppi density)',b'Android 10',b'Mediatek MT6785 Helio G90T (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',b'UFS 2.1',"b'48 MP, f/1.8, (wide), PDAF 8 MP, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, (depth) 4th unknown camera'","b'Quad-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, f/2.0, (wide) 8 MP, f/2.2, 105\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m'","b'Dual-LED flash, HDR'","b'4K@30fps, 1080p@30/60fps'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 33W',"b'Silver Diamond, Black Diamond'",b'X687B',b'\xc2\xa3\xe2\x80\x89199.00',b'\xc2\xa3\xe2\x80\x89199.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.95 W/kg (body)',,,,
b'infinix',b'Infinix Note 8',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note8-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, October 15'","b'Available. Released 2020, November 04'",b'175.3 x 78.8 x 9 mm (6.90 x 3.10 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (peak)'","b'6.95 inches, 114.7 cm2 (~83.0% screen-to-body ratio)'",b'720 x 1640 pixels (~258 ppi density)',"b'Android 10, XOS 7.1'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',b'128GB 6GB RAM',b'HSDPA 900 / 2100',"b'64 MP, (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 2 MP, (macro) 2 MP, (depth) 2 MP'","b'Quad-LED flash, HDR, panorama'",b'1440p@30fps',"b'16 MP 2 MP, (depth)'",b'Dual-LED flash',b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5200 mAh, non-removable'",b'Fast charging 18W',"b'Gray, Blue, Green'",b'X692',b'About 200 EUR',,,,,,,"b'1, 3, 7, 8, 20, 28'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Corning Gorilla Glass',,,,,,,,,,,
b'infinix',b'Infinix Note 8i',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note-8i-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, October 15'","b'Available. Released  2020, November 15'",b'171.4 x 77.7 x 8.9 mm (6.75 x 3.06 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (peak)'","b'6.78 inches, 109.2 cm2 (~82.0% screen-to-body ratio)'",b'720 x 1640 pixels (~264 ppi density)',"b'Android 10, XOS 7.1'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',b'128GB 6GB RAM',"b'1, 3, 7, 8, 20, 28'","b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, (macro) 2 MP, (depth) 2 MP'","b'Quad-LED flash, HDR, panorama'",b'1440p@30fps',,b'Dual-LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5200 mAh, non-removable'",b'Fast charging 18W',"b'Gray, Blue, Green'",b'X683',b'About 150 EUR',,,b'8 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Corning Gorilla Glass',,,,,,,,,,,
b'infinix',b'Infinix Hot 10 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-lite-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSDPA 850 / 900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 29'","b'Available. Released 2020, October 26'",b'165.5 x 76.4 x 8.8 mm (6.52 x 3.01 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10 (Go edition)',,,,b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 3GB RAM'","b'3, 7, 20'",,b'Triple-LED flash',b'1080p@30fps',,b'Dual-LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Black, Red, Blue, Green'",b'X657B',b'About 100 EUR',,,"b'8 MP, (wide)'","b'13 MP, (wide), AF QVGA QVGA'",,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 10',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 17'","b'Available. Released 2020, October 17'",b'171.1 x 77.6 x 8.9 mm (6.74 x 3.06 x 0.35 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.78 inches, 109.2 cm2 (~82.2% screen-to-body ratio)'",b'720 x 1640 pixels (~264 ppi density)',"b'Android 10, XOS 6.0'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',b'microSDXC (dedicated slot)',"b'64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'",,"b'16 MP, (wide), PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)'","b'Quad-LED flash, HDR, panorama'",b'1080p@30fps',,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5200 mAh, non-removable'",,"b'Obsidian Black, Amber Red, Moonlight Jade, Ocean Wave'","b'X682B, X682C'","b'\xe2\x82\xb9\xe2\x80\x8910,539'",,,"b'8 MP, (wide)'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8912,649'",,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8910,539'",,,,,,,,,,,,,,
b'infinix',b'Infinix Zero 8',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-zero8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, August 27'","b'Available. Released 2020, August 31'",b'168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in)',b'205 g (7.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.85 inches, 111.4 cm2 (~86.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~392 ppi density)',b'Android 10',b'Mediatek MT6785 Helio G90T (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'64 MP, f/1.9, (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'Quad-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'48 MP, f/2.2, (wide), 1/2.0"", 0.8\xc2\xb5m 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 33W',"b'Silver Diamond, Black Diamond, Green Diamond'",b'X687',b'About 210 EUR',,,,,,,,,,"b'AnTuTu: 282348 (v8) GeekBench: 6640 (v4.4), 1663 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)'",b'Contrast ratio: 2184:1 (nominal)',b'Photo / Video',b'-28.4 LUFS (Average)',b'Endurance rating 116h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Smart 5',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-smart5-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, August 13'","b'Available. Released 2020, August 20'",b'165.4 x 76.4 x 8.8 mm (6.51 x 3.01 x 0.35 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10 (Go edition)',b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 3GB RAM'",,,b'Triple-LED flash',b'1080p@30fps',,b'Dual-LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Ocean Wave, Quetzal Cyan, Midnight Black'","b'X657, X657C'",b'About 70 EUR',,,b'8 MP',b'13 MP + QVGA + QVGA (X657 model) or 8 MP + QVGA (X657C model)',"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 9 Play',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-play.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, April 09'","b'Available. Released 2020, April 09'",b'171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in)',b'209 g (7.37 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.82 inches, 110.5 cm2 (~82.4% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',"b'Android 9.0 Pie (Go edition) - 32/2GBAndroid 9.0 (Pie) - 32/3GB, 64/3-4GB'","b'Mediatek MT6761 Helio A22 (12 nm) - 32/2GBMediaTek Helio A25 (12 nm) - 32/3GB, 64/3-4GB'","b'Quad-core 2.0 GHz Cortex-A53 - 32/2GBOcta-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - 32/3GB, 64/3-4GB'",b'PowerVR GE8300PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'",,,"b'Triple-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, (wide), 1/3.1"", 1.12\xc2\xb5m, AF QVGA (Low light sensor)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",,"b'Midnight Black, Quetzal Cyan, Violet, Ocean Wave'","b'X680, X680B'",b'About 100 EUR',,,"b'8 MP, (wide)'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Note 7',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'1, 3, 7, 8, 20, 28'",b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, April 06'","b'Available. Released 2020, July'",b'173.4 x 79 x 8.8 mm (6.83 x 3.11 x 0.35 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.95 inches, 114.7 cm2 (~83.7% screen-to-body ratio)'",b'720 x 1640 pixels (~258 ppi density)',"b'Android 10, XOS 6.0'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'","b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) 2 MP, f/1.8, (dedicated video camera) - 128/6 model only'","b'Quad-LED flash, panorama, HDR'",b'1080p@30fps',,,b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Forest Green, Aether Black, Bolivia Blue'","b'X690B, X690'","b'\xe2\x82\xb9\xe2\x80\x8912,200'",,,"b'16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8912,200'",,,b'Corning Gorilla Glass',,,,,,,,,,,
b'infinix',b'Infinix Note 7 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note7lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, April 06'","b'Available. Released 2020, July'",b'165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~82.8% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'","b'Android 10, XOS 6.0'",b'Mediatek Helio',b'Octa-core',,b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'","b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) QVGA'","b'Quad-LED flash, panorama, HDR'",b'1080p@30fps',,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Forest Green, Violet, Space Gray'",b'X656',b'$\xe2\x80\x89269.99',,,"b'8 MP, (wide)'",,,,b'eMMC 5.1',,,,,,,,,,,,,,,,b'$\xe2\x80\x89269.99',,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 9 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, May 29'","b'Available. Released 2020, June 05'",b'165 x 76.8 x 8.7 mm (6.50 x 3.02 x 0.34 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (typ)'","b'6.6 inches, 105.2 cm2 (~83.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'","b'Android 10, XOS 6.0'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, (macro) 2 MP, (depth) QVGA (Low light sensor)'","b'Quad-LED flash, panorama, HDR'",b'1080p@30fps',,b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Violet, Ocean Wave'",b'X655F',"b'\xe2\x82\xac\xe2\x80\x8953.20 / \xe2\x82\xb9\xe2\x80\x8910,499'",,,"b'8 MP, (wide)'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x8953.20',,,,,,,,,,b'0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.84 W/kg (body)',,,,
