Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'ulefone',b'Ulefone Note 11P',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-11p.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'24-bit/192kHz audio',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 09'","b'Coming soon. Exp. release 2021, Februrary'",b'166.9 x 77.2 x 10 mm (6.57 x 3.04 x 0.39 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.55 inches, 103.6 cm2 (~80.4% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~268 ppi density)'",,b'Android 11',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',"b'48 MP, f/1.8, (wide), PDAF 8 MP, f/2.2, (ultrawide) 5 MP, f/2.6, (macro) 2 MP, f/2.4, (depth)'",b'Dual-LED flash',b'1080p@30fps',"b'8 MP, f/1.8'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Charging 10W',"b'Black, Red, Green'",,,,b'$\xe2\x80\x89169.99',,,,,,,,,,b'$\xe2\x80\x89169.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Note 10',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-note10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 20'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 21'","b'Available. Released 2021, January 21'",b'165.2 x 76.7 x 9.7 mm (6.50 x 3.02 x 0.38 in)',b'203 g (7.16 oz)',"b'Plastic frame, plastic back'","b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~81.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",,b'Android 11 (Go edition)',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'IMG8322',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, f/2.0'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'Unspecified',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 5500 mAh, non-removable'",b'Charging 10W',"b'Black, Red, Aurora Green'",,,,b'About 120 EUR',,,,,,,,,"b'8 MP, f/2.0, AF 5 MP, (macro) 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor Mini 2',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini2.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68/IP69K water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2m Flashlight MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',,b'eMMC',,,,"b'2021, January 18'","b'Available. Released 2021, January 29'",b'138 x 62.5 x 16.6 mm (5.43 x 2.46 x 0.65 in)',b'158 g (5.57 oz)',,b'Dual SIM',b'MP4 player MP3/WAV/AAC player Organizer',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~20.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'Scratch-proof glass',,b'Mediatek MT6261D',,,b'microSDHC (dedicated slot)',b'4MB 4MB RAM',,b'LED flash',b'Yes',b'0.3 MP',,,b'Yes',b'Yes',b'No',b'2.4',b'No',b'No',"b'FM radio, built-in antenna'",b'microUSB 2.0',b'No',"b'Li-Ion 2100 mAh, removable'",,"b'Dark Gray, Camouflage'",,,,b'About 40 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'Yes',,,,,,,,,,,,b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,
b'ulefone',b'Ulefone Note 7T',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-7t.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 20'",,"b'HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps'","b'2020, November 12'","b'Available. Released 2020, November 12'",b'156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in)',b'177.5 g (6.28 oz)',,b'Dual SIM',,b'IPS LCD',"b'6.1 inches, 92.3 cm2 (~80.2% screen-to-body ratio)'",b'600 x 1280 pixels (~232 ppi density)',,b'Android 10',b'Mediatek MT6761 Helio A22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'5 MP, f/2.2'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'Stereo FM radio, RDS, recording'",b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3500 mAh, non-removable'",,"b'Twilight, Black, Midnight Green'",,b'0.67 W/kg (head) \xc2\xa0 \xc2\xa0 0.59 W/kg (body)',,,,,,,,,,,"b'8 MP, f/2.0, (wide) 2 MP 2 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor 10 5G',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-10-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900 & TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/11.5 Mbps, LTE-A, 5G'","b'2020, November 17'","b'Available. Released 2020, December 07'",b'176.5 x 82.8 x 14.6 mm (6.95 x 3.26 x 0.57 in)',b'328 g (11.57 oz)',"b'Front glass, aluminum back with rubber, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant',b'IPS LCD',"b'6.67 inches, 107.4 cm2 (~73.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'","b'Scratch-resistant glass, oleophobic coating'","b'Android 10, planned upgrade to Android 11'",b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57 MP4',b'microSDXC (uses shared SIM slot)',b'128GB 8GB RAM',"b'64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide) 5 MP, f/2.8, (macro) 2 MP, f/2.2, (depth)'","b'LED flash, Panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.2'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',"b'FM radio, RDS, recording'","b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter'","b'Li-Po 5800 mAh, non-removable'",b'Fast charging 15W Fast wireless charging 15W',b'Black',,,,"b'$\xe2\x80\x89399.99 / \xe2\x82\xac\xe2\x80\x89489.99 / \xc2\xa3\xe2\x80\x89499.99 / \xe2\x82\xb9\xe2\x80\x8955,000'",,,,,,,,,,b'$\xe2\x80\x89529.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Watch Pro',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch-pro.jpg',b'No cellular connectivity',b'N/A',"b'50m water resistant, 5ATM (up to 10 mins)'",b'N/A',b'No',b'N/A',,b'No',"b'2020, October 27'","b'Available. Released 2020, October 27'",b'48.7 x 36.1 x 12.2 mm (1.92 x 1.42 x 0.48 in)',b'40 g (1.41 oz)',"b'Glass front, plastic back, plastic frame'",b'No',,b'TFT',"b'1.55 inches, 7.7 cm2 (~43.8% screen-to-body ratio)'",b'320 x 360 pixels (~311 ppi density)',,b'Proprietary wearable platform',,,,b'No',,,,,,,,b'No',b'No',b'No',"b'5.2, A2DP, LE'",b'No',b'No',b'No',b'No',"b'Accelerometer, gyro, heart rate, SpO2'","b'Li-Ion 210 mAh, non-removable'",b'Wireless charging',"b'Black, Gray, Pink'",,,,b'About 50 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Watch GPS',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch-gps.jpg',b'No cellular connectivity',b'N/A',"b'50m water resistant, 5ATM (up to 10 mins)'",b'N/A',b'No',b'N/A',,b'No',"b'2020, October 27'","b'Available. Released 2020, October 27'",b'42 x 37 x 12 mm (1.65 x 1.46 x 0.47 in)',b'35 g (1.23 oz)',"b'Glass front, plastic back, plastic frame'",b'No',,b'TFT',"b'1.3 inches, 5.5 cm2 (~35.1% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~261 ppi density)'",,b'Proprietary wearable platform',,,,b'No',,,,,,,,b'No',b'No',b'No',"b'5.0, A2DP, LE'",b'Yes',b'No',b'No',b'No',"b'Accelerometer, gyro, heart rate'","b'Li-Ion 210 mAh, non-removable'",b'Wireless charging',"b'Black/Green, Black/Red, Pink/Blue'",,,,b'About 40 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Watch',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch.jpg',b'No cellular connectivity',b'N/A',"b'50m water resistant, 5ATM (up to 10 mins)'",b'N/A',b'No',b'N/A',,b'No',"b'2020, October 27'","b'Available. Released 2020, October 27'",b'42 x 37 x 12 mm (1.65 x 1.46 x 0.47 in)',b'35 g (1.23 oz)',"b'Glass front, plastic back, plastic frame'",b'No',,b'TFT',"b'1.3 inches, 5.5 cm2 (~35.1% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~261 ppi density)'",,b'Proprietary wearable platform',,,,b'No',,,,,,,,b'No',b'No',b'No',"b'5.0, A2DP, LE'",b'No',b'No',b'No',b'No',"b'Accelerometer, gyro, heart rate'","b'Li-Ion 210 mAh, non-removable'",b'Wireless charging',"b'Black, Coral Pink, Turquoise'",,,,b'About 30 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor X8',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68/IP69K dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat6 300/150 Mbps'","b'2020, October 06'","b'Available. Released 2020, October 06'",b'160.3 x 79 x 13.8 mm (6.31 x 3.11 x 0.54 in)',b'256.3 g (9.03 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",,b'Android 10',b'MediaTek Helio A25 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.4'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',,b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5080 mAh, non-removable'",,"b'Black, Orange'",,,,b'$\xe2\x80\x89109.99 / \xe2\x82\xac\xe2\x80\x89147.00 / \xc2\xa3\xe2\x80\x89125.99',,,,,,,,,"b'13 MP, f/2.2, (wide), AF 2 MP, (depth) 2 MP, (depth)'",,,,b'$\xe2\x80\x89179.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor 8 5G',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'Unknown camera',b'LTE',b'SA/NSA',"b'HSPA 42.2/11.5 Mbps, LTE-A, 5G'","b'2020, September 21'",b'Cancelled',b'-',b'-',"b'Front glass, aluminum back with rubber, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.1 inches, 91.3 cm2'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'","b'Scratch-resistant glass, oleophobic coating'",b'Android 10',b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57 MP4',b'microSDXC (uses shared SIM slot)',b'256GB 8GB RAM',,"b'LED flash, Panorama, HDR'",b'1080p@30fps',,,,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'",b'Yes',"b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',"b'FM radio, RDS, recording'","b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter'","b'Li-Po 5080 mAh, non-removable'",b'Fast charging',"b'Black, Orange, Red'",,,,,,,,,,,,,"b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 2 other unknown cameras'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor 9E',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-9e.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps'","b'2020, September 08'","b'Available. Released 2020, September 08'",b'168.2 x 82 x 15 mm (6.62 x 3.23 x 0.59 in)',b'324 g (11.43 oz)',"b'Front glass, aluminum back with rubber, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'Endoscope mount (camera sold separately)',b'IPS LCD',"b'6.3 inches, 97.4 cm2 (~70.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'Scratch-resistant glass, oleophobic coating'",b'Android 10',b'Mediatek MT6779 Helio P90 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',b'microSDXC (uses shared SIM slot)',b'128GB 8GB RAM',"b'64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 100\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)'","b'Quad-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'8 MP, f/2.2'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',"b'FM radio, RDS, recording'","b'USB Type-C 2.0, USB On-The-Go, accessory connector'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, coulombmeter'","b'Li-Po 6600 mAh, non-removable'",b'Fast charging 18W',b'Black',,,,b'About 290 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor X5 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x5-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 28'",,"b'HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps'","b'2020, September 08'","b'Available. Released 2020, September 08'",b'158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in)',b'235 g (8.29 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 78.1 cm2 (~63.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",,b'Android 10',b'Mediatek MT6762V/WD Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, Panorama, HDR'",b'1080p@30fps',"b'5 MP, f/2.2'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',"b'FM radio, RDS, recording'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Black, Orange, Red'",,,,b'About 110 EUR',,,,,,,,,,,,,,,"b'13 MP, f/2.0, (wide), PDAF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Note 8',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-8.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2020, August 28'","b'Available. Released 2020, August 28'",b'141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in)',b'153 g (5.40 oz)',,b'Dual SIM',,b'IPS LCD',"b'5.5 inches, 74.1 cm2 (~78.7% screen-to-body ratio)'","b'442 x 960 pixels, 19.5:9 ratio (~192 ppi density)'",,b'Android 10 (Go edition)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, HDR'",b'720p@30fps',b'2 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',"b'Stereo FM radio, RDS, recording'",b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2700 mAh, non-removable'",,"b'Black, Amber Sunrise, Midnight Green'",,,,b'$\xe2\x80\x8961.00 / \xe2\x82\xac\xe2\x80\x8964.99 / \xc2\xa3\xe2\x80\x8963.90',,,,,,,,,,,,,,,"b'5 MP, f/2.8 2 MP'",,,,,,,,,,b'$\xe2\x80\x8980.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'ulefone',b'Ulefone Armor 8',b'https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 28, 66'",,"b'HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps'","b'2020, August 17'","b'Available. Released 2020, August 17'",b'166 x 81.8 x 15 mm (6.54 x 3.22 x 0.59 in)',b'282 g (9.95 oz)',"b'Front glass, aluminum back with rubber, aluminum frame'","b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.1 inches, 91.3 cm2 (~67.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'","b'Scratch-resistant glass, oleophobic coating'",b'Android 10',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, Panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.2'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',"b'FM radio, RDS, recording'","b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter'","b'Li-Po 5580 mAh, non-removable'",b'Fast charging 15W',"b'Black, Orange, Red'",,,,b'$\xe2\x80\x89129.99 / \xe2\x82\xac\xe2\x80\x89199.99 / \xc2\xa3\xe2\x80\x89179.99',,,,,,,,,"b'16 MP, f/2.2, (wide), PDAF 5 MP, f/2.4, (macro) 2 MP, f/2.2, (depth)'",,,,b'$\xe2\x80\x89195.49',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
