Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'energizer',b'Energizer Ultimate U710S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-u710s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, February 17'",b'Cancelled',b'180.3 x 86.8 x 9.2 mm (7.10 x 3.42 x 0.36 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'7.12 inches, 127.8 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Mali-G71 MP2',b'microSDXC',b'32GB 3GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 6000 mAh, non-removable'",b'Charging 10W',b'Gray',"b'13 MP, PDAF VGA'",,b'eMMC 5.1',,,,,b'AGC glass',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E12',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e12.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2019, April'","b'Available. Released 2019, June'",b'117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in)',b'91 g (3.21 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Spreadtrum SC6531E',,,b'microSDHC',b'4MB 4MB RAM',b'VGA',,b'Yes',b'VGA',b'',b'Yes',b'Yes',b'No',b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',,b'Black',,b'About 10 EUR',b'- Flashlight',,,,,,,,,,b'Yes',b'Yes',b'Yes',b'Yes',"b'SMS, MMS'",b'',b'No',,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H10',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2019, April'","b'Available. Released 2019, April'",b'109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~19.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Mediatek MT6261A',,,b'microSDHC',b'64MB 32MB RAM',b'VGA',,b'Yes',b'VGA',b'',b'Yes',b'Yes',b'No',b'3.0',b'No',b'No',b'FM radio',b'microUSB',b'',b'Li-Ion 1000 mAh battery',,b'Black',,b'About 30 EUR',b'IP54 splash/shock proof - Flashlight',,,,,,,,,,b'Yes',b'Yes',b'Yes',b'Yes',b'SMS',b'',b'No',,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P8100S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps; 5G (2+ Gbps DL)'","b'2019, February'",b'Cancelled',b'-',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Foldable IPS LCD',"b'8.1 inches, 203.2 cm2'","b'1536 x 2048 pixels, 4:3 ratio (~316 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'microSDXC',b'256GB 8GB RAM',"b'24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'",b'4K@30fps',,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 10000 mAh, non-removable'",b'Fast charging 18W',b'Dark red',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 12 MP'",b'About 900 EUR',"b'Cover display: 6 inches, 1080 x 2160 pixels'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'NSA',,,
b'energizer',b'Energizer Power Max P18K Pop',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, February'",b'Cancelled',b'\xe2\x81\x93 30-40 mm thickness',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~407 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6771 Helio P70 (12nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 18000 mAh, non-removable'",b'Fast charging 18W USB Power Delivery 2.0 Reverse charging',"b'Black, Blue'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m 2 MP, depth sensor'",,b'eMMC 5.1',"b'12 MP, PDAF 5 MP 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Ultimate U620S Pop',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s-pop.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, January'",b'Cancelled',b'153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~407 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6771 Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',,b'1080p',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3200 mAh, non-removable'",b'Fast charging 18W',"b'Black, Red, Green'","b'Motorized pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m Motorized pop-up 2 MP, depth sensor'",,b'eMMC 5.1',"b'12 MP, PDAF 5 MP 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H570S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h570s-not-scan.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q3'",b'',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.7 inches, 83.8 cm2'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'microSDHC (uses shared SIM slot)',b'16GB 2GB RAM',b'8 MP',b'LED flash',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 6500 mAh, non-removable'",b'Charging 10W',b'Black',"b'13 MP, AF 0.3 MP, (depth)'",,b'IP68 dust/water resistant (up to 1.5m for 30 mins)',,,,,b'Corning Gorilla Glass 3',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H501S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h501s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 7.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q3'",b'149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 64.5 cm2 (~61.8% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'5 MP',b'LED flash',b'480p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Ion 2500 mAh, non-removable'",,b'Black',"b'16 MP, AF 2 MP, (depth)'",,b'IP68 dust/water resistant (up to 1.5m for 30 mins)',,,,,b'Panda Glass',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H280S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h280s1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20, 28, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2019, February'","b'Available. Released 2020, January'",b'142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in)',b'256 g (9.03 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~26.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS',b'Spreadtrum SC9820E',b'Dual-core (2x1.2 GHz)',,b'microSDXC',b'4GB 512MB RAM',b'2 MP',b'LED flash',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 2000 mAh battery',,b'Black',,b'About 80 EUR',b'IP68 dust/water resistant (up to 1.2m for 30 mins) Drop-to-concrete resistance from up to 1.2 m',,,,,,"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H241',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h241s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2019, February'",b'Cancelled',b'128.5 x 56.5 x 16.5 mm (5.06 x 2.22 x 0.65 in)',b'-',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~24.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Mediatek MT6276\xd0\x90',,,b'microSDXC',b'128MB 64MB RAM',b'2 MP',b'LED flash',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 2500 mAh battery',,b'Black',,,b'IP68 dust/water resistant (up to 1.2m for 30 mins)',,,,,,"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H242',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h242.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA',"b'2019, February'","b'Available. Released 2019, Q3'",b'125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in)',b'-',b'Dual SIM (Mini-SIM)',"b'TFT, 16M colors'","b'2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Spreadtrum SC7731E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820',b'microSDHC',b'512MB 256MB RAM',b'0.3 MP',b'LED flash',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1500 mAh battery',,b'Black',,,b'IP68 dust/water resistant (up to 1.2m for 30 mins)',,,,,,b'Secondary external display',"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E241s',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e241-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, September'",b'125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in)',b'95 g (3.35 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Spreadtrum SC9820E',b'Dual-core (2x1.3 GHz Cortex-A7)',,b'microSDHC',b'512MB 512MB RAM',b'0.3 MP',b'LED flash',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1900 mAh battery',,"b'Black, Carbon black, Gray, White, Orange, Bordo Red'",,,"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E241',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e241s-1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2019, February'","b'Available. Released 2019, September'",b'125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in)',b'72 g (2.54 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Spreadtrum SC7731E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820',b'microSDHC',b'512MB 512MB RAM',b'0.3 MP',b'LED flash',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1900 mAh battery',,"b'Black, Carbon black, Gray, White, Orange, Carbon Red'",,,"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E220s',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e220s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20'",b'HSPA',"b'2019, February'","b'Available. Released 2019, July'",b'119 x 59 x 16.5 mm (4.69 x 2.32 x 0.65 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'TFT, 16M colors'","b'2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'KaiOS',b'Spreadtrum SC9820E',b'Dual-core (2x1.3 GHz Cortex-A7)',,b'microSDHC',b'512MB 256MB RAM',b'0.3 MP',,b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',,"b'Black, Dark blue'",,,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
