Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'pantech',b'Pantech Breeze IV',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Secondary external display',b'HSDPA 850 / 1900 / 2100',,,b'HSPA',"b'2013, November. Released 2013, November'",b'Discontinued',b'106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in)',b'102 g (3.60 oz)',b'Yes',"b'TFT, 256K colors'","b'3.0 inches, 25.6 cm2 (~45.3% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'",,b'Qualcomm QSC6270',,,b'microSDHC (dedicated slot)',b'256MB 128MB RAM',,b'LED flash',b'Yes',"b'3.15 MP, AF'",,,b'Yes',b'No',b'No',"b'2.1, A2DP, EDR'",b'No',b'No',b'No',b'microUSB',b'',"b'Li-Ion 1030 mAh, removable'",,b'Black',,b'About 160 EUR',,,,b'No',b'MP3/eAAC+/WMA/WAV player MP4/WMV/H.263 player Organizer Document viewer Voice memo/dial Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 3 h',,,,"b'Yes, Photocall'",b'Yes',"b'SMS, MMS, Email, IM'",b'Yes',b'Yes',,,,,,,,,
b'pantech',b'Pantech Vega No 6',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'CDMA 800 / 1900',b'GSM 900 / 1800 / 1900',b'HSDPA 2100',b'LTE 800',,"b'HSPA, LTE, EV-DO Rev. A'","b'2013, January. Released 2013, February'",b'Discontinued',b'158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in)',b'210.5 g (7.41 oz)',b'Micro-SIM',b'Natural IPS Pro LCD',"b'5.9 inches, 96.0 cm2 (~72.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~373 ppi density)'","b'Android 4.1.2 (Jelly Bean), Flux UX UI'",b'Qualcomm APQ8064 Snapdragon S4 Pro',b'Quad-core 1.5 GHz Krait',b'Adreno 320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,"b'LED flash, HDR'",b'1080p@30fps',"b'13 MP, AF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 3140 mAh, removable'",,"b'Black, White'",,,,,,b'CDMA2000 1xEV-DO',b'T-DMB TV tuner',,,,,,,,,,,,,,,,,b'0.72 W/kg (head)',,,,,b'2 MP',,,b'Up to 450 h',b'Up to 16 h 40 min',,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Discover',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 1900 / 2100',"b'2, 4, 5, 17'",,"b'HSPA, LTE'","b'2013, January. Released 2013, January'",b'Discontinued',b'134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in)',b'135 g (4.76 oz)',b'Micro-SIM',b'TFT',"b'4.8 inches, 63.5 cm2 (~69.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~306 ppi density)'",b'Android 4.0.4 (Ice Cream Sandwich)',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',b'microSDHC (dedicated slot)',"b'16GB (13GB user available), 1GB RAM'",,"b'LED flash, HDR'",b'1080p@30fps',"b'12.6 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2100 mAh, removable'",,b'Gray',,b'About 370 EUR',,,,,,,,,,,,,,,,b'Endurance rating 48h',,,,,,,,,,,b'2 MP',,,b'Up to 430 h',b'Up to 10 h',,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Vega R3 IM-A850L',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'CDMA 800 / 1900',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',b'LTE 800',,"b'HSPA, LTE, EV-DO Rev. A'","b'2012, October. Released 2012, October'",b'Discontinued',b'144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in)',b'168.5 g (5.93 oz)',b'Micro-SIM',b'Natural IPS Pro LCD',"b'5.3 inches, 77.4 cm2 (~72.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~277 ppi density)'","b'Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)'",b'Qualcomm APQ8064 Snapdragon S4 Pro',b'Quad-core 1.5 GHz Krait',b'Adreno 320',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2600 mAh, removable'",,"b'Black, White'",,b'About 550 EUR',,,,b'CDMA2000 1xEV-DO',b'T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor',,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,b'Up to 14 h 30 min',,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Flex  P8010',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'MP4/WMV/H.264 player MP3/WAV/eAAC+ player Photo/video editor Document viewer',b'HSDPA 850 / 1900 / 2100',"b'4, 17'",,"b'HSPA, LTE'","b'2012, September. Released 2012, September'",b'Discontinued',b'129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in)',b'132 g (4.66 oz)',b'Micro-SIM',b'Super AMOLED Advanced',"b'4.3 inches, 51.0 cm2 (~58.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~256 ppi density)'","b'Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean)'",b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',"b'microSDHC (dedicated slot), 8 GB included'",b'8GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1830 mAh, removable'",,b'Gray',,b'About 230 EUR',,,,,,,,,,b'0.66 W/kg (head) \xc2\xa0 \xc2\xa0 1.02 W/kg (body)',,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 430 h',b'Up to 10 h',,,,,,,,,,,,,,,,,b'Up to 21 h'
b'pantech',b'Pantech Renue',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 1900',,,b'HSPA',"b'2012, July. Released 2012, July'",b'Discontinued',b'99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in)',b'128 g (4.52 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'3.2 inches, 31.7 cm2 (~50.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~125 ppi density)'",,b'Qualcomm QSC 6270',,,b'microSDHC (dedicated slot)',b'185MB 256MB RAM',,,b'320p',b'3.15 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1000 mAh battery',,b'Black',,,,,,b'SNS applications MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player Document viewer Organizer Voice memo/dial Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 3 h',,,,"b'Yes, Photocall'",b'Yes',"b'SMS(threaded view), MMS, Email, IM'",b'Yes + downloadable',b'No',b'QWERTY',,,,,,,,
b'pantech',b'Pantech Marauder',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg',b'CDMA / EVDO / LTE',b'CDMA 800 / 1900',b'MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player Document viewer Organizer Voice memo/dial/commands Predictive text input',b'CDMA2000 1xEV-DO',b'13',,"b'EV-DO Rev.A 3.1 Mbps, LTE'","b'2012, July. Released 2012, August'",b'Discontinued',b'129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in)',b'173 g (6.10 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'3.8 inches, 41.1 cm2 (~49.0% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~246 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',,b'Dual-core 1.2 GHz',,b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,,b'720p',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1680 mAh battery',,b'Black',,,,,,,,,,,,b'0.63 W/kg (head) \xc2\xa0 \xc2\xa0 0.89 W/kg (body)',,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 533 h',b'Up to 8 h 10 min',,,,,,,,,b'QWERTY',,,,,,,,
b'pantech',b'Pantech Vega Racer 2 IM-A830L',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg',b'CDMA / HSPA / LTE',b'CDMA 800 / 1900',b'Touchless UX UI',b'HSDPA 2100',b'LTE 800',,"b'HSPA, LTE'","b'2012, May. Released 2012, May'",b'Discontinued',b'132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in)',b'134.1 g (4.73 oz)',b'Mini-SIM',b'Super IPS LCD',"b'4.8 inches, 63.5 cm2 (~69.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~306 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0 (MHL TV-out)',"b'Accelerometer, gyro, proximity, compass'",b'Removable Li-Ion 2020 mAh battery',,"b'Black, White'",,b'About 340 EUR',,,,b'T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor Organizer Voice memo/dial/commands Predictive text input',,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Vega LTE EX IM-A820L',b'https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg',b'CDMA / HSPA / LTE',b'CDMA 800 / 1900',b'Touchless UX UI',b'HSDPA 2100',b'LTE 800',,"b'HSPA, LTE'","b'2012, January. Released 2012, January'",b'Discontinued',b'134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in)',b'136.2 g (4.80 oz)',b'Mini-SIM',b'Super IPS LCD',"b'4.5 inches, 58.7 cm2 (~62.5% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~335 ppi density)'",b'Android 2.3 (Gingerbread)',,b'Dual-core 1.5 GHz',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0 (MHL TV-out)',"b'Accelerometer, gyro, proximity, compass'",b'Removable Li-Ion 1830 mAh battery',,"b'Black, White'",,b'About 230 EUR',,,,b'T-DMB TV tuner MP4/H.264/WMV/DviX/XviD player MP3/WMA/WAV/eAAC+ player Document viewer/editor Organizer Voice memo/dial/commands Predictive text input',,,,,,,,,,,,,,,,,,b'0.64 W/kg (head)',,,,,b'Yes',,,b'Up to 174 h',b'Up to 6 h 25 min',,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Burst',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input',b'HSDPA 850 / 1900 / 2100',"b'4, 17'",,"b'HSPA, LTE'","b'2012, January. Released 2012, January'",b'Discontinued',b'126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in)',b'122.5 g (4.30 oz)',b'Micro-SIM',"b'Super AMOLED, 256K colors'","b'4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'Qualcomm MSM8660 Snapdragon S3',b'Dual-core 1.5 GHz Scorpion',b'Adreno 220',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'720p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1650 mAh battery',,"b'Titanium, Ruby Red'",,b'About 270 EUR',,,,,,,,,,,,,,,,b'Endurance rating 31h',,,,,,,,,,,b'VGA',,,b'Up to 240 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,,
b'pantech',b'Pantech Element',b'https://fdn2.gsmarena.com/vv/bigpic/pantech-element.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP57 dust/water resistant (up to 1m. and 30 mins)',b'HSDPA 850 / 1900 / 2100',b'17',,"b'HSPA, LTE'","b'2012, January. Released 2012, January'",b'Discontinued',b'212.3 x 155.4 x 10.7 mm (8.36 x 6.12 x 0.42 in)',b'469.8 g (1.03 lb)',b'Micro-SIM',b'TFT',"b'8.0 inches, 198.2 cm2 (~60.1% screen-to-body ratio)'","b'768 x 1024 pixels, 4:3 ratio (~160 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',b'Qualcomm APQ8060 Snapdragon S3',b'Dual-core 1.5 GHz Scorpion',b'Adreno 220',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'720p',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Non-removable Li-Ion 6400 mAh battery',,b'Black',,b'About 220 EUR',,,,b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264 player Organizer Document viewer Predictive text input',,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 600 h',b'Up to 12 h',,,,,,,,,,,,,,,,,
